Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-5.2650,-15.5310,0.8364,-7.8590,33.7700,-10.9325,47.6223,39.1336,-15.3921,-5.9506,-9.2945,-8.9823,-6.7948,-6.2077,-4.3568,-5.7101
7.8125,-8.2831,-11.7585,0.2527,-10.4943,31.5371,-8.6081,41.6139,39.6077,-16.4942,-5.2834,-8.8722,-9.5428,-6.9800,-6.0522,-4.3145,-5.1868
15.6250,-7.1504,-8.1908,-0.9939,-15.2583,28.2109,-6.1873,36.9066,39.3258,-15.0779,-3.6318,-7.5113,-12.0713,-2.7935,-5.7984,-4.5117,-4.8472
23.4375,-3.5586,-9.7013,0.1497,-12.7212,28.8189,-7.0254,36.3518,32.2988,-13.6078,-4.3682,-8.6962,-14.9524,0.0046,-6.0820,-1.1646,-3.8245
31.2500,-3.7032,-9.5851,3.5377,-9.5001,35.2729,-8.4750,29.6726,28.4759,-14.4716,-7.5644,-11.2998,-16.2788,-2.2816,-5.5825,0.4188,-1.8486
39.0625,-3.1718,-6.2510,7.1154,-11.1505,44.4866,-8.0245,21.9815,22.0238,-14.0457,-6.5753,-9.3449,-17.1012,-0.8607,-5.8187,-2.9187,-0.3680
46.8750,-1.2276,-5.8408,7.7712,-9.0213,43.8650,-8.2233,18.7955,18.0860,-11.2661,-3.5975,-7.4381,-19.2632,4.1428,-6.6426,-3.8053,-0.5351
54.6875,-1.5806,-5.4027,8.3763,-4.2486,38.2639,-8.3578,9.9818,12.3290,-9.9204,-4.7308,-8.9877,-20.9305,5.1492,-2.9714,-1.1203,1.2643
62.5000,-1.6602,-4.6323,11.0980,-4.0704,45.1550,-9.8665,2.9180,16.2159,-11.4970,-9.4887,-13.0034,-24.2379,5.0163,-0.8271,-0.7655,3.1339
70.3125,-0.9063,-7.0948,13.7877,-3.4267,56.6486,-7.4032,3.0773,11.7660,-10.7223,-11.4053,-13.6328,-24.7922,6.2667,-4.4584,-2.7479,2.5038
78.1250,-3.4666,-8.1213,12.5916,-3.7176,54.2429,-3.9499,-3.9136,5.1611,-7.1754,-8.9542,-9.7671,-19.8575,7.0166,-4.5778,-4.5779,1.4051
85.9375,-6.4252,-6.7840,10.8912,-7.9118,48.2276,-7.5866,-13.8546,0.4966,-4.6328,-6.5267,-5.9448,-14.9167,10.7241,-0.0277,-1.5440,2.9386
93.7500,-7.4306,-9.4638,8.9128,-10.5543,46.9273,-10.2846,-15.3398,3.2959,-4.8183,-7.6470,-6.8660,-13.6333,14.3097,-1.2357,4.8947,2.7129
101.5625,-4.6270,-12.4439,7.2918,-9.6507,45.3842,-5.4278,-18.9745,1.2632,-6.6471,-9.3602,-7.9315,-11.9776,11.5905,-2.9687,5.4946,1.1131
109.3750,1.2383,-11.3532,8.0248,-8.6262,43.9650,-8.6309,-24.2763,1.4136,-9.2644,-11.2881,-9.2520,-12.4990,7.8326,0.5670,2.4103,1.8750
117.1875,1.9640,-8.2507,10.1702,-8.0383,45.4496,-13.7906,-24.0832,1.7996,-8.8526,-13.4214,-10.8167,-13.7203,7.4107,1.1208,1.7430,3.5245
125.0000,-3.5546,-4.5442,8.9741,-8.6846,40.8734,-10.6296,-26.5217,9.3084,-9.2692,-15.6019,-12.8127,-13.6461,5.1373,0.2798,0.4562,3.0897
132.8125,-7.3382,-0.9201,10.8158,-4.2571,37.1412,-12.5648,-36.5412,6.4695,-16.2202,-22.6525,-20.2213,-18.6796,-0.4288,5.7372,0.7996,5.8997
140.6250,-10.0530,1.6282,16.1121,3.3601,42.9824,-21.2995,-42.6933,8.8304,-25.2935,-34.8532,-34.0936,-31.2780,-5.8075,6.7703,3.1855,9.2663
148.4375,-11.3595,3.8884,17.2251,3.9888,46.6598,-19.5461,-45.0074,12.7632,-27.0479,-38.3525,-38.0214,-35.9693,-6.1647,1.9049,1.0755,8.3655
