Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-4.6875,-0.5268,-12.5998,-1.1935,0.1706,1.3854,6.4769,33.7140,-11.2784,-3.7154,-1.6754,-0.4240,-4.3105,0.0835,-2.8926,5.1661
7.8125,-4.4336,-6.9482,-12.8542,-2.5310,1.3142,2.2069,9.6762,33.3322,-10.4761,0.1466,-1.3746,0.2721,-3.5264,0.0759,1.6251,2.9039
15.6250,-2.6170,-10.7029,-9.8300,-0.4265,-1.9525,4.3409,17.3064,29.3404,-10.7035,-3.9949,-0.9894,-2.9539,-4.0762,1.4838,5.3692,5.0113
23.4375,-4.9069,-5.6035,-3.8122,2.2118,-3.5726,6.5439,23.7716,25.5759,-13.2970,-11.0830,-6.8944,-6.5130,-7.1546,0.7516,3.8783,10.6165
31.2500,-7.7615,-4.6745,-3.0765,-2.0181,-3.0485,6.7003,25.4311,25.4946,-14.4208,-11.0050,-11.3912,-3.9023,-3.2216,12.3997,-1.1413,6.7663
39.0625,-3.6913,-8.1667,-1.8557,-2.2217,-2.4953,8.8604,28.1640,32.3860,-10.0807,-9.2299,-11.5179,2.9406,-5.5308,-6.6020,-3.2435,-0.4805
46.8750,-3.7314,-10.1537,0.6817,2.0604,-3.4854,9.2200,28.2087,36.6554,-7.9267,-12.3810,-17.7261,3.4683,-5.7322,-5.7326,-6.9678,-1.8959
54.6875,-8.7275,-10.0972,0.4854,3.2426,-1.2361,8.5769,27.2888,40.6125,-3.3697,-11.1362,-17.5130,4.3050,-11.2312,-19.0827,-7.8719,-1.1992
62.5000,-11.6442,-14.0823,-4.3448,-1.4444,-2.6345,5.9641,25.3233,41.5502,2.4786,-10.9295,-9.4723,6.1463,-8.0533,-11.0898,-8.2615,-5.1332
70.3125,-11.1431,-15.6881,-6.7016,-4.0512,-5.3328,4.5688,24.2245,40.5835,3.1706,-13.7966,-8.1292,6.3151,-2.4503,4.8511,-9.3487,-6.4984
78.1250,-10.4372,-13.1856,-5.4802,-3.2010,-3.7120,5.7341,25.0068,41.4162,2.4202,-12.9268,-10.0575,7.1814,-6.2704,-8.6028,-8.1209,-4.6373
