Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-5.0011,-3.9958,-7.1403,-10.3832,-10.3477,-7.3599,-8.0458,-8.4309,-7.5990,-12.3151,-9.1946,0.0981,-4.3227,-5.6325,7.8445,-2.5070
7.8125,-3.8547,-6.6209,-6.3786,-7.0670,-8.4720,-7.3819,-10.4040,-10.7934,-8.6426,-12.7867,-10.8855,-3.2052,-3.4951,-5.8192,9.1174,-2.6074
15.6250,-3.1462,-16.2578,-13.1626,-14.6084,-13.7299,-11.2845,-6.8175,-9.7708,-2.8246,-4.5430,-1.8878,3.9410,-2.0782,-5.7211,3.3216,-8.3343
23.4375,-6.7447,-18.3029,-17.5278,-21.1754,-18.0608,-13.3414,-3.2493,-6.1145,0.3977,-2.0027,2.0070,9.2027,-1.3226,-8.7637,0.0608,-11.8451
31.2500,-4.8729,-7.6911,-9.5927,-11.8378,-12.6930,-10.0736,-8.9799,-10.4939,-4.4454,-11.8326,-8.1868,-0.5425,-2.5591,-8.8105,1.8323,-6.2295
39.0625,3.8278,-3.3337,-4.4518,-8.4310,-7.2612,-5.3641,-13.0738,-19.2566,-8.8196,-16.7659,-12.9229,-7.8948,-4.1260,-2.7630,0.7150,-1.7888
46.8750,2.7611,-8.4400,-9.6189,-15.9238,-9.7934,-5.5471,-9.5055,-14.2313,-9.4272,-10.8436,-7.4494,-3.3961,-4.4699,-2.9963,-0.5031,-5.2758
54.6875,-4.1113,-8.2507,-11.3479,-13.9555,-13.8502,-8.1914,-11.4826,-6.8545,-8.1655,-6.5710,-4.7469,0.8126,-3.8771,-7.1428,2.4438,-6.8388
62.5000,-1.7952,-5.0606,-7.5604,-8.2584,-11.7112,-6.7069,-15.3517,-10.7249,-5.2950,-6.2812,-4.2974,1.2821,-4.3996,-6.0801,3.9936,-4.0631
70.3125,1.0369,-4.2694,-5.2503,-10.4165,-4.8740,-4.1381,-11.4588,-14.3191,-7.0872,-9.0590,-5.9807,-0.8393,-3.6259,-3.5358,4.1851,-2.0084
78.1250,-1.1108,-5.2945,-5.5037,-10.4721,-3.3618,-8.2644,-8.8014,-8.5517,-11.5063,-9.2473,-8.4290,-4.6651,-3.1184,-4.3551,7.1395,-2.1192
85.9375,-3.1424,-9.6528,-7.7468,-9.9384,-7.3047,-10.1412,-10.3492,-3.9924,-9.7044,-2.9399,-5.4264,-5.5183,-5.6462,-2.1852,12.6153,-2.2239
