Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,1.3637,15.2082,-5.2610,-11.0827,-11.1792,10.5676,-1.1734,24.6413,-20.1552,0.2073,2.0901,4.2638,2.5759,-0.9201,11.8436,1.8617
7.8125,0.7774,15.2912,-1.9434,-9.1896,-5.4630,9.7865,-5.6426,13.6229,-22.8376,-8.9194,-4.8203,-2.1626,7.4992,1.4610,23.0197,6.3900
15.6250,1.8703,15.4378,4.0829,-1.3234,1.3507,5.9069,-10.5846,-3.2981,-26.4452,-16.6428,-9.0673,-4.3107,5.9210,6.0169,34.1274,12.6241
23.4375,3.2890,11.6641,2.6252,2.7299,-2.2019,2.7565,-9.7138,-1.4697,-28.9506,-10.5689,-8.5116,-4.9736,2.5701,2.9025,35.6624,10.7144
31.2500,4.0696,8.4711,1.4860,4.1779,-0.6837,3.6180,-7.4230,8.0693,-28.2415,-9.5274,-12.3398,-12.8938,4.9890,-2.0019,34.8982,7.9161
39.0625,3.3986,12.1748,7.6456,8.0441,9.5079,2.1225,-10.0527,-2.5720,-24.9385,-14.7468,-8.9312,-16.0962,7.2327,-0.1017,36.2138,11.9623
46.8750,3.0323,12.4267,6.8277,6.8846,6.4104,2.8731,-10.2843,-6.4102,-20.9813,-13.6023,-4.5493,-11.3340,7.7365,-0.1571,37.4088,12.1749
54.6875,3.7367,9.5491,3.3847,1.2162,2.1195,10.2613,-7.2556,-2.2552,-12.9456,-15.5058,-12.3317,-13.6773,8.8613,-1.4837,36.7730,10.4323
62.5000,0.6529,10.3780,7.8032,2.9985,10.5836,14.0374,-5.0203,-8.3020,-6.2689,-20.8959,-17.8919,-19.8398,5.3097,0.7654,34.0446,12.9652
70.3125,-6.9438,7.1906,7.8361,5.8498,11.7699,13.4984,-4.4245,-11.7332,-4.4302,-15.9103,-13.1344,-19.8167,1.2697,-1.3700,33.7669,11.8339
78.1250,-11.2534,2.1460,3.0873,1.4657,6.3588,16.1124,-8.2017,-8.0440,-2.7965,-10.7506,-13.6209,-19.5527,3.5266,-4.1191,39.0403,9.5705
85.9375,-8.9933,6.9165,7.2999,2.1253,9.4580,20.4725,-12.1807,-15.2885,1.5473,-16.8063,-23.4528,-19.7452,4.9792,-0.3261,43.8686,14.8596
93.7500,-8.0161,13.0150,12.2819,7.3966,12.7704,25.5375,-9.0290,-22.7347,6.2000,-20.9889,-29.2605,-17.3672,1.8968,-1.8654,43.3141,17.9889
101.5625,-11.2816,11.0143,8.7916,1.5940,11.5577,29.6902,-8.0584,-10.8940,12.0326,-15.9451,-27.7076,-18.9242,0.1431,-7.2645,43.4837,15.1598
109.3750,-12.4446,15.6476,9.0677,-8.5005,13.8211,27.4650,-17.0965,-5.9526,15.8287,-11.5848,-23.0073,-23.4705,1.9069,-2.6027,47.7897,18.8478
117.1875,-8.9507,18.3844,12.3973,-5.2188,15.6437,26.2825,-21.6226,-13.2193,17.9149,-16.2839,-24.5333,-23.6196,3.2566,0.4656,48.4882,21.7810
125.0000,-10.5327,17.9017,14.4448,-1.2628,20.3042,26.5472,-18.4057,-28.2540,18.3176,-17.9838,-21.2027,-21.5221,5.2581,-4.9546,44.6951,20.3034
132.8125,-15.4790,13.4260,12.0580,-4.7129,19.6959,23.2738,-16.9328,-21.5510,25.6664,-8.9580,-16.5694,-20.2517,5.9539,-7.2531,43.6517,17.9965
140.6250,-13.9941,8.9149,8.4310,-7.4044,12.1499,23.7956,-12.6172,-11.8967,34.9241,-4.1734,-16.7764,-21.8206,5.1286,-5.7803,47.0667,17.2860
148.4375,-10.7270,1.6054,5.4180,-7.9198,9.4077,27.5473,-6.1250,-17.9598,40.2176,-7.3208,-12.4998,-32.9742,5.9066,-5.9399,48.2364,15.0846
156.2500,-13.0773,-7.2785,1.4271,-10.5661,8.8812,24.1570,-3.0988,-17.9891,39.1986,-0.6183,-1.3213,-46.8062,8.5699,-3.6624,45.4836,11.3682
164.0625,-14.8369,-8.9778,-0.0846,-10.3008,5.8677,19.4882,-5.4347,-11.3617,33.5347,7.5797,1.0937,-48.7589,6.6828,-0.9916,47.4870,11.2093
171.8750,-11.9837,-8.8311,2.2156,-5.4811,9.4637,17.3657,-11.0543,-12.3030,27.5888,2.5557,-2.7613,-44.3163,4.9718,-0.9851,50.2773,12.4055
179.6875,-10.9477,-11.6292,2.0057,-4.3846,13.5506,10.9945,-14.8613,-10.3162,21.6283,2.7135,2.5045,-46.2299,10.8415,-1.1415,46.8345,10.1296
187.5000,-10.7985,-10.7332,0.0776,-5.8864,10.5898,7.4017,-9.1314,-6.3295,16.2665,10.9701,7.8402,-48.8839,11.1239,-2.4702,41.6812,7.6838
195.3125,-7.8980,-8.4490,1.8765,-4.8392,11.3825,10.9462,-2.0770,-16.7307,15.2283,9.1857,5.6358,-45.4368,3.1384,-2.5899,40.0521,9.0460
203.1250,-5.9045,-11.3401,1.9018,-7.0363,12.5060,11.6623,-0.7929,-27.9863,21.0762,5.5135,6.9768,-42.5436,4.5576,-0.9963,39.9812,9.4882
210.9375,-5.1960,-20.6304,-3.7569,-10.6638,5.5544,10.4452,6.8700,-22.5099,35.2487,7.6504,8.2756,-40.3389,7.4806,-6.4369,38.9699,4.4451
218.7500,-4.2448,-31.0908,-6.1554,-6.9520,1.9684,8.4814,14.6560,-19.8289,50.7163,5.6526,4.2212,-33.3144,1.4671,-12.2428,37.3208,0.4992
226.5625,-4.5827,-32.2452,-2.6758,-3.3397,3.2303,0.2141,4.9896,-37.0738,55.3603,4.1317,5.3138,-26.9083,4.6393,-6.6482,40.5257,4.3077
234.3750,-0.8319,-33.3865,-3.7654,-6.3442,-0.2411,-5.5922,-0.0755,-40.0767,55.5979,5.8662,3.7483,-24.1636,12.7980,-3.6289,45.5934,5.6858
242.1875,5.0511,-44.8669,-8.4465,-8.5325,-1.7132,-6.2182,9.3788,-29.6594,64.4115,8.0250,1.2790,-22.3384,10.1946,-8.1061,39.8581,-0.3850
250.0000,7.2979,-53.9396,-11.3604,-9.5838,-3.5365,-8.4216,13.4910,-25.9505,73.6645,11.3199,1.8409,-20.9820,11.7844,-6.0927,29.9402,-4.7188
257.8125,10.5922,-48.2361,-9.7370,-13.5764,-5.8583,-10.2649,11.5361,-36.5392,79.3822,11.8225,-1.4204,-18.7482,19.7551,-3.4193,27.2181,-2.1796
265.6250,15.0233,-44.6871,-6.2476,-8.8890,-2.0444,-10.0366,15.1379,-39.6698,79.7686,6.3197,-10.6173,-15.5910,15.7985,-9.6164,25.8517,-1.6339
273.4375,11.4846,-48.1102,-4.3102,3.6239,-1.5657,-14.0295,13.5218,-35.6857,82.4586,7.0541,-11.5004,-17.3784,8.0013,-14.0397,18.2822,-4.6946
281.2500,6.6748,-43.8452,-3.0670,7.4728,-4.9872,-19.4119,11.2667,-32.6818,84.4791,12.9931,-8.7416,-20.0816,8.1837,-14.2561,10.5138,-5.3589
289.0625,9.8403,-35.8460,2.3841,7.9595,2.4953,-20.3660,14.1649,-37.5833,84.9293,8.4910,-16.6962,-20.2472,10.1160,-14.9444,5.4947,-2.5540
296.8750,11.0628,-35.6828,8.1718,16.2966,10.6513,-20.5216,10.6932,-51.0133,80.4806,-1.7349,-25.6597,-22.9633,10.8847,-10.6670,5.9788,0.8199
304.6875,7.0476,-33.9538,7.7470,19.1645,6.6952,-21.3805,6.3061,-48.5310,73.7393,-4.0603,-25.1338,-24.4007,10.5676,-8.3070,10.2264,1.8839
312.5000,4.7459,-27.4073,6.6944,13.2523,5.5739,-20.3293,5.4146,-48.2860,71.8658,2.5899,-15.0667,-18.7050,12.5002,-12.3625,8.7617,1.2869
320.3125,5.0667,-28.6895,7.4904,15.8261,7.2759,-16.1940,-3.3031,-62.9425,72.7588,8.3521,-6.7111,-13.1529,15.7188,-13.5970,6.3415,0.4136
328.1250,6.7399,-33.9329,5.4743,20.9665,4.6204,-12.8677,-23.8666,-53.3716,69.4983,8.8702,-4.9136,-9.9989,12.7243,-12.6997,9.5695,-1.3061
335.9375,9.7703,-31.7898,3.8617,15.9283,5.8704,-13.0739,-58.8529,-28.8450,72.1374,12.8125,0.7780,-4.3251,13.1910,-12.7258,8.0370,-2.4872
343.7500,11.8092,-29.9167,4.4621,12.2632,6.9929,-11.7003,-89.1046,-31.7187,76.8373,18.8310,4.7881,-0.8878,23.4634,-8.8222,6.3656,-1.3163
351.5625,14.2769,-34.3423,3.0332,12.9608,2.9993,-9.5140,-84.5890,-42.2095,76.4783,17.8278,0.2051,-2.2548,24.9993,-7.3007,11.5689,-0.8531
359.3750,16.4138,-37.6549,0.5046,8.6349,3.6606,-10.3347,-67.2445,-31.9563,79.8890,15.8489,0.1132,-3.0573,19.1607,-10.7149,7.5137,-3.9225
367.1875,14.7231,-36.4950,0.8905,6.3665,7.2842,-7.4101,-70.7764,-26.5430,82.2598,16.3543,1.6644,-2.5023,22.6877,-8.7255,-0.9250,-5.1752
375.0000,13.6141,-35.3154,3.3278,11.1565,8.2485,-2.2803,-75.8458,-38.6480,80.7669,13.5826,-2.0170,-2.2951,26.3983,-6.2510,-0.1799,-3.3179
382.8125,13.2476,-34.3257,2.9073,12.4230,8.4897,-2.4342,-67.6393,-36.7884,77.4136,12.6228,2.1223,-2.5071,23.4884,-10.6271,-0.2862,-4.7309
390.6250,9.8353,-37.9638,-2.6577,9.4320,3.7564,-3.1511,-65.5096,-19.9886,74.0394,18.2325,14.2593,-1.7152,21.9266,-11.9993,-6.9655,-10.4352
398.4375,10.9388,-39.9342,-5.5147,6.5251,-0.4762,-1.4890,-67.8694,-21.8731,72.4197,19.7967,19.2534,2.1169,21.1965,-9.6993,-9.9874,-12.1397
406.2500,16.4515,-34.0178,-3.3790,3.9453,1.9508,1.4204,-61.7526,-30.3007,69.5953,15.0347,12.6916,5.5477,20.2685,-11.5883,-10.7265,-10.2733
