Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,5.7617,5.5840,3.4526,1.0961,-0.5834,1.1139,2.3565,3.7439,0.1899,0.0884,-4.6660,1.5705,4.2322,10.3867,6.3883,6.4945
7.8125,3.6464,3.1367,2.9088,2.9279,0.1219,2.8817,4.0254,5.1369,2.7953,2.3714,-3.6026,4.5216,5.3270,7.3451,5.4557,4.6801
15.6250,-0.3432,9.0548,0.7637,1.9221,-6.7189,1.0911,6.5998,12.9771,4.9442,15.0284,1.4014,9.7875,5.9711,-2.8772,-0.1216,1.0277
23.4375,-2.2026,15.1656,-0.5944,-4.3785,-10.7708,0.7316,9.2874,16.8382,8.2332,20.4151,1.8065,11.3568,4.2776,-6.7574,-1.9596,0.7773
31.2500,-0.9199,7.2721,-1.2647,-6.7102,-5.6076,2.4258,9.5877,14.7372,9.0734,14.1161,-0.1346,11.2836,4.6362,-0.8354,1.2274,1.3003
39.0625,4.6427,3.9255,-0.0042,-6.0750,-3.1449,0.3832,6.1706,4.6828,11.5186,12.5667,2.2843,13.7326,11.3784,2.8803,1.9141,2.4446
46.8750,10.8210,10.4552,-0.4360,-9.1395,-9.0905,0.9685,10.3553,6.1873,18.2339,13.5311,0.8926,15.1362,15.1473,0.6871,-0.6100,2.7737
54.6875,11.3474,8.3575,0.3035,-2.7260,-10.0856,6.3866,13.1373,6.3973,18.9179,17.8306,-6.5303,13.5827,10.0841,-0.4168,-1.9947,2.0988
62.5000,8.3599,1.5091,1.8432,7.1746,-7.1388,5.9367,9.2742,5.9310,10.6320,17.7520,-10.9431,10.6244,6.0876,2.9287,1.2092,2.3422
70.3125,6.8427,3.7888,0.7066,2.7170,-10.2861,4.0354,7.7985,7.1283,9.1748,10.1038,-8.4384,10.0090,7.6021,6.7567,8.3102,4.8639
78.1250,5.4373,7.1189,-2.7798,-3.5134,-18.7258,4.1988,10.0499,9.7441,13.5784,14.5589,-3.2221,13.8090,7.6536,4.2496,8.3919,3.8370
85.9375,4.1965,8.0584,-5.3390,-2.6911,-24.4956,0.2443,11.2529,18.5442,11.2396,24.9792,-1.2416,16.9356,8.2822,-1.3150,1.3052,-0.4127
93.7500,4.3017,10.8835,-5.6797,-5.6684,-25.5172,-0.2549,10.5567,19.0312,8.9564,21.2218,-3.2883,15.4776,11.1122,-0.8416,3.0294,0.4638
101.5625,2.5501,10.5359,-6.1588,-8.3825,-26.8018,3.3794,9.2244,11.7332,11.0645,16.9142,-2.7106,13.7013,9.7604,0.9804,10.2231,2.7489
109.3750,-0.8957,10.8858,-8.6206,-8.2451,-30.7965,1.4220,11.4127,20.7295,10.8229,22.9298,2.5631,15.1193,6.2619,-3.9140,5.8656,-0.7177
117.1875,-1.8920,14.9343,-8.2821,-8.0506,-30.2018,1.5608,13.1008,24.7891,10.7167,26.7259,5.6326,18.2043,5.1552,-8.4045,-1.6976,-2.8447
125.0000,-0.0507,8.3951,-7.4499,-1.0001,-25.2088,4.2108,13.9658,28.2457,7.6594,16.7327,3.6239,19.0584,4.6095,-6.3320,0.9208,-3.4831
132.8125,2.9211,2.9503,-4.6048,7.2885,-19.3759,2.9093,9.9775,23.7436,3.2222,13.0052,2.5008,17.1256,5.6487,-3.3378,4.6506,-2.2607
140.6250,5.5781,8.0874,-2.8268,4.7556,-16.2081,6.5096,10.0470,19.8306,2.5431,10.7318,1.7477,16.8317,7.2108,-3.7290,3.1531,-0.8359
148.4375,6.3347,9.0099,-3.3687,3.4029,-17.4765,10.7280,12.2848,20.4356,4.2658,5.3408,0.2502,18.7055,6.1986,-3.1951,6.3070,0.0298
156.2500,6.6731,5.1231,-4.1215,2.6966,-18.8275,5.9405,10.6603,20.5757,5.3183,4.7854,-0.0362,18.5034,9.2883,0.3284,12.4769,1.3657
164.0625,9.2062,6.6892,-5.0513,-5.1705,-17.5412,5.9765,11.4490,20.4720,4.8326,4.9280,-2.1818,16.6335,14.9609,3.1448,10.4796,1.7868
171.8750,14.2332,7.3311,-4.6377,-3.5480,-18.5383,8.9475,11.6334,15.9456,4.5605,2.7517,-4.2631,16.6087,13.7191,3.7735,5.8775,1.2489
179.6875,18.1000,4.1537,-5.3119,-0.3603,-23.9058,1.0153,10.3492,13.8153,11.5862,5.6517,0.6811,20.5536,12.3552,2.5189,6.1761,0.4982
187.5000,17.3723,5.1817,-9.7055,-14.2356,-26.4909,-0.2294,17.5581,21.8658,24.0613,11.8699,6.4323,27.4584,16.4636,-1.8276,4.1393,-1.8554
195.3125,13.5872,9.4426,-7.1878,-13.9585,-21.7900,9.8526,20.6877,14.2845,30.1633,16.2503,3.8361,26.6173,14.3372,-6.9890,-0.7345,-1.8690
203.1250,8.7046,4.2338,-2.2332,9.9118,-18.1475,6.8580,19.5497,18.9873,26.6615,4.5685,-2.9060,15.3949,5.5413,-9.1753,-2.6015,-3.1769
210.9375,6.4322,-2.1913,2.9782,22.3577,-11.0064,2.2261,11.7589,1.9488,28.5787,-1.9974,-5.8502,12.8454,4.5229,-7.6472,-3.7631,-2.0389
218.7500,10.0059,-5.9027,1.8334,16.2232,-5.1106,11.1387,13.9564,-3.3692,28.9054,-6.8799,-11.2510,18.5529,9.5674,-6.8014,-6.1957,-3.3750
226.5625,14.5033,-2.4424,5.4104,20.2045,-0.9263,17.4593,12.4833,-10.5650,25.0920,-6.9787,-14.4620,16.4898,8.7527,-6.5439,-3.9893,-0.7057
234.3750,10.7856,2.0942,7.6344,27.1826,-4.2201,9.9063,10.2495,-2.0336,20.5146,-4.4233,-11.0919,15.1746,4.9441,-4.7965,0.0420,1.8645
242.1875,6.4877,4.3184,5.8879,22.2707,-9.6447,2.8721,9.7698,5.3458,20.2160,7.1134,-6.9482,20.0876,7.0915,-2.0200,1.5965,2.7949
250.0000,10.1445,2.3822,5.5963,17.0051,-5.8389,5.2764,11.0689,2.8511,21.5986,11.7028,-7.6153,15.2185,10.3322,0.2255,1.8610,3.2981
257.8125,11.8043,1.8789,8.0751,17.3761,0.4390,11.0131,10.1677,-6.7497,21.9596,7.9679,-9.2580,9.4025,7.5906,3.0277,1.3937,5.1360
265.6250,7.7099,6.3908,6.8394,11.1729,-3.5284,11.8365,11.2075,-7.7520,26.0170,13.3968,-7.3540,17.9036,6.1607,1.8234,-0.9708,5.3081
273.4375,8.5656,8.4987,1.8608,2.8507,-10.0863,11.2664,21.1966,7.9770,36.4672,21.2647,-5.1987,24.2003,10.5213,-6.5453,-6.2143,0.5748
281.2500,13.1029,7.9752,3.9955,8.4837,-6.5127,15.4989,26.0568,8.3223,43.2534,18.7466,-7.0938,22.2710,11.7855,-9.1502,-10.8617,-0.5361
