Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-2.4144,-0.4854,-5.8380,-2.6515,-3.4812,-0.5098,5.6651,-8.6958,-4.7489,-14.9838,-9.4714,-1.1219,26.9562,0.8477,-3.0158,-4.7834
7.8125,-1.7732,-0.5796,-5.4409,-2.9545,-3.0058,-1.0076,5.4229,-8.9579,-4.7373,-15.7786,-9.9338,-1.5852,29.0153,1.5205,-3.1535,-4.3539
15.6250,-1.5401,-1.0069,-5.8251,-2.7417,-3.3494,-0.8652,5.6090,-8.8241,-4.0179,-15.8583,-9.8851,-1.3593,30.0073,1.4291,-3.1725,-5.3047
23.4375,-1.8672,-0.9351,-4.2148,-3.1976,-2.7877,-0.9009,5.1111,-9.0243,-4.9490,-16.5808,-10.5378,-1.8700,30.5080,1.3718,-3.3103,-3.5498
31.2500,-0.7521,-1.2024,-4.9138,-3.5179,-2.6140,-1.3763,5.1870,-9.0913,-4.2274,-17.2533,-10.7041,-1.9648,33.3273,2.2119,-3.5661,-4.3034
39.0625,-0.4538,-1.5583,-7.2823,-3.5495,-3.8317,-0.6192,6.1798,-8.2776,-2.7611,-16.7407,-9.9692,-0.7729,33.8885,1.6059,-3.9477,-7.0155
46.8750,-0.3145,-0.8546,-6.7947,-4.8729,-2.9604,-0.6910,6.0491,-8.1787,-4.0559,-17.7369,-10.5758,-1.1130,34.8794,1.9345,-4.5211,-5.3419
54.6875,0.4762,-2.4974,-4.7161,-3.5464,-2.8172,-1.6764,5.0050,-9.2772,-2.6599,-18.4300,-11.1795,-2.0346,38.3711,2.8165,-3.8697,-5.4363
62.5000,-1.2964,-5.8724,-7.5469,-1.4774,-9.1465,-0.0494,7.1526,-6.7657,3.0407,-14.2235,-8.2338,1.2567,33.4214,-0.8676,-3.2464,-10.5965
70.3125,-3.7080,-4.9782,-10.8742,-5.7760,-13.4439,-1.3489,9.7830,-3.1962,4.3927,-11.5883,-5.9424,4.3683,22.4543,-3.2854,-3.3706,-6.7168
78.1250,-1.4578,-2.0783,-15.1373,-10.6859,-11.8742,-4.4327,9.1713,-4.5849,6.5413,-13.5338,-5.2277,6.1232,24.8877,-1.8908,-3.7139,-5.2291
85.9375,0.0879,1.0779,-10.7392,-5.4858,-8.2316,0.7032,4.7356,-10.2304,9.8026,-17.0522,-6.9337,4.2795,36.1703,-3.5247,-5.9451,-11.3371
93.7500,-0.0354,12.6881,-6.1833,-0.3467,-5.2718,7.8686,5.2203,-11.9776,8.1054,-21.6130,-10.3816,-0.6536,37.3332,-2.6036,-12.3122,-13.0751
101.5625,-1.6822,26.2487,-9.1492,-3.4894,-4.9137,3.4331,9.4098,-12.3484,5.2491,-25.0575,-12.1447,-3.2877,25.1415,3.6729,-14.0774,-5.3000
109.3750,-6.7847,26.7410,-14.8189,-7.4985,-9.2957,-1.4305,10.0107,-13.2394,8.3848,-22.9034,-9.6691,0.7337,15.1408,1.7064,-10.4980,-3.2086
117.1875,-9.9975,20.1245,-15.0160,-7.2419,-9.6207,2.7174,9.2328,-11.6594,11.7160,-21.5681,-8.6957,2.9831,19.3926,-4.4664,-12.0708,-6.0791
125.0000,-8.7272,18.5530,-11.4472,-4.8874,-3.0364,4.2771,12.2701,-12.2317,11.7074,-24.6628,-10.8092,-0.1232,28.3487,-0.3518,-16.5901,-3.2869
132.8125,-9.2662,20.5473,-10.0124,-2.3983,0.5718,1.6222,15.6562,-17.1260,11.5400,-26.0745,-11.2337,-0.7480,27.9908,5.9695,-16.0607,-0.2263
140.6250,-12.2776,21.8247,-5.8148,-0.0051,2.3915,1.8548,13.8147,-21.2440,8.5280,-27.8114,-12.9637,-0.6590,23.1462,5.8539,-12.7515,2.7254
148.4375,-12.7973,22.7458,-4.2764,0.6372,4.2955,3.4308,12.4830,-23.0982,6.0688,-30.5879,-14.8965,-0.2866,23.4194,5.4819,-11.1554,3.6227
156.2500,-14.5224,23.6959,-0.7829,1.6222,5.4116,3.3757,11.5938,-27.6918,4.1415,-32.0936,-15.8730,0.3224,22.9122,6.5707,-8.3997,6.1573
164.0625,-15.3702,25.0506,-1.1840,2.9992,7.4717,4.5471,9.9967,-29.2219,2.0779,-34.9987,-17.9353,0.7318,20.9081,5.9758,-6.1986,5.8281
171.8750,-13.6244,25.7293,-6.5274,3.7235,11.1185,4.9624,8.3406,-26.7658,1.3720,-39.4861,-20.9725,-0.1163,21.5860,5.1263,-5.8853,3.3772
179.6875,-14.8558,25.6379,-3.7943,4.4655,13.1505,3.4266,6.1680,-28.0356,-0.0163,-40.8440,-22.5628,-2.0665,21.1601,4.7701,-5.2099,6.3296
187.5000,-17.3421,25.4329,2.3939,5.5483,13.4469,3.1791,5.2520,-30.3998,-1.9585,-39.7684,-22.5814,-2.8058,19.1689,3.2104,-5.3600,9.9225
195.3125,-17.8358,25.1954,2.8858,5.7106,13.8757,3.0239,5.2465,-30.6981,-2.1767,-39.7147,-22.5627,-2.5902,19.2690,2.0245,-5.9126,10.2097
203.1250,-18.6687,25.8686,0.8761,4.4199,13.2518,2.6711,5.6421,-31.3305,-1.7348,-38.9450,-21.6331,-2.1025,20.2313,2.1582,-6.4017,8.9570
210.9375,-20.0751,24.8024,6.2973,7.0269,13.8352,2.6290,5.0625,-32.6898,-2.9578,-38.2307,-21.8459,-1.9108,17.3958,-1.2300,-6.9475,11.1908
218.7500,-17.7891,20.6496,6.0765,12.1251,12.9883,3.3590,6.3409,-30.8627,-0.4021,-36.5316,-20.5845,2.3297,13.1094,-8.4945,-8.3340,7.3249
226.5625,-16.6408,18.3739,7.0562,14.4353,12.5127,3.8923,5.8678,-30.2896,-0.0052,-35.0383,-19.9605,3.1776,9.3282,-9.9236,-7.5937,6.4509
234.3750,-16.5920,18.5680,6.2688,13.1637,12.4052,5.2584,5.6896,-29.4241,-1.0035,-34.2805,-19.8047,1.7440,7.4822,-6.6287,-6.4013,6.6607
242.1875,-15.0844,16.9829,3.4538,13.1357,11.7002,5.9821,5.8605,-27.8483,-0.0095,-33.1461,-19.0091,2.3487,5.9162,-6.2469,-5.3435,4.7172
250.0000,-15.1316,15.9379,6.4069,14.2374,12.1475,6.2563,4.4869,-28.2723,-1.2611,-32.4717,-19.3051,1.0940,2.8298,-4.9977,-3.9830,6.5851
257.8125,-16.4380,15.2138,5.5841,13.8134,12.4157,7.6439,5.5541,-26.9840,-1.2052,-32.3801,-19.3256,0.6285,0.5586,-3.2048,-5.2428,6.7927
265.6250,-16.7886,12.5995,1.6336,13.7393,11.7400,8.2322,7.5308,-24.8946,1.3864,-31.7618,-18.2859,2.6946,-0.5305,-4.1054,-7.2703,4.4704
273.4375,-18.5030,12.6574,5.4280,14.7460,12.8869,8.9329,7.0771,-25.8038,-0.2229,-32.2277,-19.0868,1.2525,-3.5487,-1.4139,-8.1293,7.0518
281.2500,-19.6373,9.7133,0.9578,13.9652,12.1632,10.3007,9.5818,-22.6093,2.1948,-31.2942,-18.1461,2.5869,-5.5812,-2.4685,-10.2436,5.0434
289.0625,-15.9025,-1.7851,-4.0172,12.3748,10.1011,9.1603,11.8933,-17.9112,9.2632,-27.4942,-15.3263,6.6551,-1.8678,-14.1003,-9.5152,2.0615
296.8750,-8.2130,-6.4200,2.2180,11.2976,11.3411,12.6223,13.0810,-19.1406,10.3138,-26.9296,-15.5711,4.6750,3.5637,-16.7501,-6.3324,0.8503
304.6875,-6.4976,-4.6414,8.3940,11.9813,13.4046,17.4777,14.2755,-22.3136,8.3230,-30.8948,-18.5911,0.9874,-1.8391,-8.9449,-5.8895,-1.7882
312.5000,-10.8035,-12.3923,10.2057,11.8086,10.7513,9.1525,11.4269,-23.1475,9.7772,-30.0159,-18.1780,4.1225,-12.5817,-12.5528,-4.2523,-1.2782
320.3125,-7.0450,-16.7273,6.4641,4.8153,4.7198,2.0023,11.5754,-22.5233,11.2568,-25.2542,-13.8280,9.4200,-7.0570,-18.5649,-0.7157,-3.4537
328.1250,-0.3028,-8.5626,9.2614,1.5325,5.1430,9.4005,14.9650,-23.4125,7.0899,-28.2102,-16.0523,4.7018,6.2011,-12.1956,1.2064,-2.0808
335.9375,-0.8911,-6.4658,14.1249,7.4809,8.5567,13.0138,14.0059,-21.8796,4.3682,-32.8419,-20.9924,-0.2058,6.9031,-8.3820,1.6275,1.9924
343.7500,-2.6521,-12.2213,11.1994,10.4589,7.5170,6.1617,11.0531,-18.5973,5.8380,-32.1447,-20.4045,4.0718,2.1463,-11.6998,2.1741,-0.0080
351.5625,-3.1663,-13.0266,13.1029,9.9128,7.8035,2.5395,9.3506,-20.5356,4.7602,-34.8191,-21.9932,4.8467,2.1636,-11.0121,3.7649,2.2081
359.3750,-3.8440,-11.7308,14.1086,11.3453,9.8753,2.7952,9.4864,-22.3596,4.5105,-39.6921,-25.7020,2.1631,3.7095,-8.8413,4.8812,5.4292
367.1875,-3.5742,-12.2691,11.9707,11.6812,10.4820,0.9986,9.1985,-21.7462,5.1452,-41.4257,-26.7134,2.5466,3.6541,-8.5126,6.0145,5.3178
375.0000,-1.8225,-11.2695,10.3109,9.8794,9.6404,1.7355,9.5577,-21.1731,5.3349,-41.2771,-25.8173,4.1864,3.6126,-8.2172,5.3232,3.6698
382.8125,-0.5098,-11.2454,10.6120,10.2532,10.2392,2.9352,8.8204,-19.4280,5.2208,-39.9403,-25.2272,3.5823,1.2731,-9.0936,4.5407,3.9026
390.6250,1.3083,-11.4546,8.1858,9.2557,9.9263,2.9874,8.6262,-17.0191,5.7250,-38.2410,-23.6711,5.0593,-0.6109,-9.7926,4.2390,1.6822
398.4375,3.3543,-9.8810,6.2061,7.0175,8.3941,4.3923,9.3864,-16.4072,6.1013,-38.3124,-22.7246,7.0836,-0.0060,-9.5989,3.2390,-0.0032
406.2500,3.5392,-11.5556,10.1484,9.5140,11.4243,4.3302,6.4801,-14.8175,4.6620,-36.0193,-22.6661,4.1777,-5.1572,-11.0251,3.0693,2.7168
414.0625,3.3167,-15.5328,11.0824,13.0428,17.0631,3.7117,2.6301,-10.9465,3.8364,-31.1235,-21.3590,0.9059,-16.7026,-12.7116,5.2123,1.5672
421.8750,4.0329,-16.6670,8.9147,12.7350,18.4767,4.5973,1.6881,-9.1823,4.6542,-30.3374,-20.7816,1.0117,-21.6392,-11.9760,6.4368,-1.0404
429.6875,5.9805,-16.6361,7.6453,10.2031,16.8690,3.8876,1.5302,-7.6737,5.8088,-32.1990,-20.8940,3.1731,-20.2748,-9.1069,6.7541,-1.8042
437.5000,6.0860,-16.4723,6.8897,7.8885,17.1741,4.0272,0.5700,-7.1369,5.7698,-33.3230,-21.2305,4.2694,-25.1739,-7.4086,10.2493,-3.1784
445.3125,3.8150,-14.2215,5.9754,8.3355,18.1215,6.4863,-0.8879,-10.0810,4.3208,-32.0254,-21.7357,0.4252,-28.5833,-8.7664,13.5796,-0.7209
453.1250,5.1080,-12.1093,4.7920,11.1914,17.7689,5.2902,-3.8753,-8.4135,4.2748,-19.5243,-15.1031,-4.6096,-20.2405,-9.1870,11.1990,6.0839
460.9375,10.4328,-11.4604,0.0357,10.2898,16.0505,2.9906,-6.0646,1.1167,9.0351,2.9595,0.9743,-1.0102,-15.9386,-8.3070,8.4123,5.6454
468.7500,13.3411,-10.0381,-7.3818,5.9007,13.3655,5.2000,-4.4108,7.8527,14.4264,17.5149,13.2359,7.5358,-22.3199,-10.6645,9.7419,-1.7906
476.5625,12.7931,-9.2604,-8.8689,4.9364,12.9075,6.5590,-3.0927,6.9857,14.5510,17.4685,13.6717,9.3214,-24.4536,-12.4374,10.5149,-2.8668
484.3750,11.8260,-10.4219,-5.6877,6.2702,14.3980,5.0413,-4.0207,4.4795,13.4394,13.8252,10.7892,7.2039,-21.9407,-10.5924,9.3352,0.7316
492.1875,11.8454,-10.5736,-8.9600,5.3649,13.4716,5.4254,-2.5293,4.3890,15.3090,12.9228,11.0531,8.9400,-22.2182,-10.3313,8.7464,-1.8035
500.0000,11.3178,-10.4201,-9.6514,5.3106,13.4724,5.5801,-1.6604,3.1880,15.0240,11.0896,9.9392,9.1415,-22.0286,-10.6375,8.7036,-1.6437
507.8125,11.0441,-11.2476,-10.0652,5.4856,13.8665,5.0455,-1.3313,1.7806,15.5092,8.7972,8.7790,9.1572,-20.0651,-9.2151,7.2884,-1.2978
515.6250,10.5737,-11.3505,-11.1311,5.1120,13.4740,5.0840,-0.5329,1.1060,16.3824,7.4322,8.2192,9.7959,-20.7845,-9.2655,7.2655,-2.0047
523.4375,10.5094,-11.2667,-11.1534,5.3951,13.5066,5.0230,0.1101,1.3930,15.8622,6.8245,7.5080,9.3547,-21.1056,-9.9996,7.6191,-2.0063
531.2500,10.7475,-11.9173,-11.3796,5.4653,13.3750,4.6401,0.4555,2.1373,16.6824,6.5695,7.3712,9.2196,-20.9551,-9.8763,7.1222,-2.8557
539.0625,10.6428,-11.8076,-12.0232,5.3437,12.7867,4.5714,1.2341,2.9011,17.1966,6.3696,7.1298,9.2935,-22.6591,-10.9115,7.8000,-3.8877
546.8750,10.7155,-11.8148,-11.8666,5.7451,12.9499,4.5577,1.8068,3.4361,16.5966,6.0263,6.5388,8.7338,-22.8320,-11.5313,8.0614,-3.8355
554.6875,10.7699,-12.5002,-11.9801,5.6209,12.7208,4.0889,2.0214,3.8622,17.7522,5.5260,6.3636,8.7584,-22.8679,-11.3278,7.5606,-4.7028
562.5000,10.8045,-12.2068,-12.8885,5.6092,12.0866,4.0440,3.0045,4.9157,17.8790,5.4963,6.1057,8.7343,-24.6681,-12.6467,8.4115,-5.8298
570.3125,10.8090,-12.3315,-12.2805,6.1407,12.5344,4.2327,3.4358,5.2288,17.2444,5.1126,5.4820,8.0453,-24.5585,-13.0093,8.4808,-5.3226
578.1250,10.7884,-13.2890,-12.5028,5.6419,11.9837,3.1757,3.3841,5.4902,19.1197,4.3520,5.3509,8.3367,-24.6258,-12.5875,7.9181,-6.7017
585.9375,10.8087,-12.2273,-12.9347,6.3240,11.7415,3.8585,4.8683,7.0613,17.5076,4.7895,4.7870,7.6581,-27.4112,-14.9103,9.5634,-6.7074
593.7500,10.0166,-8.2990,-9.1631,7.4772,13.9660,7.9552,6.6719,5.7471,14.2952,3.5590,3.1583,5.3799,-27.6527,-14.5092,9.5471,-1.4126
601.5625,9.8026,-2.0124,-6.2438,5.4796,14.6817,8.3539,7.8953,3.4125,16.1422,-1.4085,1.0307,4.1245,-26.7619,-8.6335,9.4890,0.5620
609.3750,11.5285,3.3924,-8.3838,6.2942,14.6869,5.4435,9.4319,6.0263,14.2995,-3.4764,-1.0819,2.2224,-28.8722,-6.9142,14.2215,-1.9457
617.1875,10.7100,4.0897,-10.1721,10.5540,17.1382,7.0716,9.1208,6.0697,9.7268,-0.6650,-1.1174,-0.8506,-26.2597,-9.8254,13.7705,-0.8702
625.0000,7.0574,4.5356,-6.7240,7.4410,17.2354,7.8739,5.3270,-0.4744,12.4579,-0.9318,-0.1245,-3.3943,-20.1285,-7.1509,5.4763,3.0803
632.8125,9.0970,8.8795,-3.5555,0.9290,13.5735,5.1074,3.8201,-0.6576,13.6714,-3.5469,-1.2927,-6.3188,-24.1908,-2.5328,4.5510,5.2699
640.6250,14.5495,11.8702,-5.0743,0.9923,11.8823,6.0764,5.8843,4.5049,8.6159,-2.7022,-2.4559,-7.7594,-31.9980,-3.7149,9.8184,5.8136
648.4375,13.3707,10.9284,-4.5935,0.9029,12.4283,5.1824,4.1175,2.7313,7.1132,-2.1276,-1.3606,-4.8531,-28.8026,-4.7138,8.8513,5.6160
656.2500,10.5138,9.9383,-4.3797,-3.1016,11.2561,0.1621,1.1135,0.3153,8.9762,-3.0372,0.5321,0.0720,-22.3303,-3.0833,5.5722,2.6901
664.0625,11.0040,9.8626,-5.3228,-3.7585,10.6578,0.0371,1.2178,1.2510,8.0893,-2.8100,0.6602,0.7596,-22.3698,-3.3118,6.4943,2.2392
671.8750,10.7974,10.2168,-6.1186,-4.1263,10.5924,1.1460,1.4315,1.0787,8.0511,-2.8656,0.3862,-0.1442,-21.8494,-3.1017,7.3928,2.2687
679.6875,10.1749,10.3497,-6.6073,-6.4645,9.6104,-0.7880,0.7431,1.4229,8.5082,-3.5431,0.6074,0.9337,-19.8334,-1.7753,7.4946,0.8935
687.5000,10.7402,10.1784,-7.6677,-6.6191,9.2974,0.1380,1.1421,2.0031,7.8270,-3.2756,0.5617,0.9603,-20.0902,-2.1399,8.4241,0.9415
695.3125,10.3741,10.8009,-9.3183,-7.9374,8.6853,0.3585,1.2903,1.9821,8.4629,-3.4048,0.7241,0.8426,-18.7609,-1.5083,8.8001,-0.4510
703.1250,10.1709,10.7358,-10.3377,-10.0653,7.5196,-1.3186,1.0472,3.1365,8.6647,-3.8476,1.0178,2.2733,-17.1606,-0.4930,9.2548,-2.0020
710.9375,10.1355,10.4497,-8.4227,-9.0733,8.5846,0.2402,0.4100,1.6988,7.0742,-3.9667,0.0806,0.4270,-18.0545,-1.0112,10.3201,1.0534
718.7500,9.3425,11.3864,-10.5589,-11.9421,6.8123,-1.6620,0.4043,3.3031,8.1637,-4.3290,0.5645,1.4943,-15.7734,0.5156,10.9618,-2.1615
726.5625,8.5869,8.6790,-13.2082,-17.1192,0.5904,-8.1008,1.8326,10.1427,10.8539,-5.3489,2.2226,9.9964,-11.0660,1.5040,11.5687,-6.2434
734.3750,9.3313,4.6151,-14.5361,-18.7930,-3.5876,-7.4070,5.4745,9.5422,15.0635,-4.0327,4.7268,15.3439,-7.1999,-2.0362,7.9111,-3.4836
742.1875,10.3433,5.8021,-15.9974,-21.2132,-2.9667,-4.5956,7.3278,4.9119,17.5525,0.7080,8.4713,12.8858,-9.2342,-2.5758,2.1753,-2.9606
750.0000,10.6866,7.4877,-17.3638,-21.8604,-1.2026,-6.0232,6.0651,7.9836,14.7740,1.7680,9.2395,12.7011,-20.2110,4.2756,2.7381,-6.6768
757.8125,10.5409,7.1876,-10.4544,-15.9529,3.5000,-4.6800,2.9858,3.9285,10.4631,-5.0530,3.5498,10.2038,-22.4000,10.4282,6.2562,-1.6873
765.6250,15.3534,6.9769,-5.4790,-14.7087,7.3656,-0.1104,3.3648,-3.9352,10.9401,-4.3694,3.1722,3.9028,-8.0801,6.4177,3.0067,-0.4750
773.4375,20.7815,0.3278,-4.5608,-17.3988,5.5041,0.8889,4.0968,3.1446,11.3505,6.9982,9.6389,3.1430,-7.0952,-1.6735,-2.0322,-4.2268
