Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-3.5095,3.6770,-0.5771,-6.2613,-4.7023,-0.1348,-2.9226,-3.0911,-4.4173,-7.9329,-9.2821,-12.4780,0.7165,10.4583,20.8148,-0.5714
7.8125,-3.3272,3.4632,-0.7682,-5.8888,-5.0183,0.3368,-2.6353,-1.9711,-3.9958,-7.2849,-9.0890,-12.8054,0.1431,9.2148,20.6872,-1.1264
15.6250,-3.3744,4.1695,1.2724,-4.4181,-4.0197,0.3443,-3.2327,-1.6290,-3.9499,-7.4846,-9.5203,-13.6577,-1.0035,7.5364,19.9057,0.1943
23.4375,-3.0086,4.0443,1.6727,-3.6557,-3.8867,0.4385,-3.2889,-1.2556,-3.6221,-7.1224,-9.3743,-13.7333,-1.5775,6.0675,19.1304,0.2867
31.2500,-4.0917,3.5324,2.4318,-3.5644,-3.2260,-0.0770,-3.6873,-1.0080,-3.9426,-7.1979,-9.3197,-12.8345,-1.6312,5.9517,19.4940,0.7889
39.0625,-4.4587,2.2487,0.6581,-4.4205,-3.5912,-0.3161,-3.2022,-0.5845,-3.4531,-6.5205,-8.2294,-10.3226,-0.8286,5.5576,19.2106,-0.7857
46.8750,-5.3481,1.4231,1.5907,-4.3789,-2.8627,-1.1640,-3.6040,-0.8106,-3.6117,-6.5435,-7.9537,-9.0784,-0.7871,5.3693,18.8026,-0.1121
54.6875,-6.2557,0.7438,0.7963,-4.7516,-2.8900,-1.4126,-3.5373,-0.1933,-3.5184,-6.4521,-7.5282,-7.3355,-0.3100,5.3619,19.1000,-1.0530
62.5000,-6.4502,-0.6281,-0.6323,-5.6396,-3.0828,-1.8191,-3.1311,0.2070,-3.0569,-5.6583,-6.3928,-5.0298,0.3633,4.8219,18.5516,-2.3559
70.3125,-7.2952,-1.4797,0.2338,-5.4110,-2.4660,-2.5439,-3.5082,-0.2288,-3.2483,-5.6267,-6.1592,-3.9493,0.3684,4.6741,18.3447,-1.5689
78.1250,-8.4980,-2.2732,-1.5324,-6.1319,-2.8520,-2.2490,-2.9669,1.4117,-3.1785,-5.3092,-5.6750,-2.1458,0.9106,4.8179,19.2087,-3.6219
85.9375,-7.6425,-3.8957,-1.8548,-7.0129,-2.6276,-3.6841,-3.1409,0.1027,-2.2994,-4.4099,-4.0863,0.6085,1.7150,3.5895,17.2271,-3.5204
93.7500,-2.1825,-7.9845,-5.7235,-8.7194,-4.3906,-4.9051,-1.2608,-1.6878,0.7567,-0.5755,-0.1641,3.6653,2.9547,-0.0485,11.7761,-5.8881
101.5625,-0.2232,-9.2694,-6.7262,-9.1303,-4.5275,-5.1064,-0.7872,-2.5853,1.7243,0.5268,1.0671,4.6992,3.5261,-0.9718,10.1812,-6.2694
109.3750,-1.3685,-8.4262,-6.2355,-8.8495,-3.8107,-4.4465,-1.2178,-2.4101,1.0748,-0.4454,0.2730,4.5082,3.6680,0.1894,11.8947,-5.8214
117.1875,-1.1072,-8.8238,-6.4395,-8.6984,-3.7093,-4.1149,-1.1161,-2.4938,1.1607,-0.1756,0.4442,4.6095,3.7855,0.2330,12.0954,-5.8224
125.0000,-0.7343,-8.9400,-6.5749,-8.6717,-3.3553,-3.8915,-1.1497,-2.8924,1.2466,-0.1786,0.5900,4.9442,4.1343,0.4555,12.2330,-5.6940
132.8125,-1.1675,-8.6718,-6.5181,-8.5098,-2.8971,-3.3446,-1.2563,-2.8546,0.9474,-0.6086,0.2486,4.9496,4.3039,1.0548,13.2284,-5.5383
140.6250,-0.8628,-9.0111,-6.8515,-8.3913,-2.8754,-3.0177,-1.1619,-2.9245,1.0866,-0.3505,0.4438,5.1250,4.4966,1.1378,13.4399,-5.6720
148.4375,-0.8989,-8.9457,-6.4807,-8.2239,-2.1874,-2.7979,-1.3854,-3.3056,0.9291,-0.6670,0.3205,5.3263,4.7391,1.5740,13.8202,-5.1416
156.2500,-1.2736,-8.7523,-6.1952,-8.0320,-1.6826,-2.4213,-1.5892,-3.4405,0.6769,-1.0397,0.0532,5.3882,4.8778,2.0655,14.6009,-4.7401
164.0625,-0.9851,-9.0668,-6.4422,-7.8517,-1.5882,-2.0575,-1.5015,-3.4789,0.7797,-0.8201,0.1806,5.4140,5.0165,2.1958,14.8191,-4.8548
171.8750,-0.9494,-8.9317,-6.6271,-7.9569,-1.1488,-1.7586,-1.6225,-3.7938,0.7567,-1.1484,0.1557,5.9189,5.4937,2.6794,15.3365,-4.8191
179.6875,-1.1395,-8.9199,-6.5359,-7.8214,-0.7975,-1.3711,-1.6913,-3.8079,0.6167,-1.2859,0.0433,5.9941,5.6183,3.0118,15.9470,-4.6303
187.5000,-1.0618,-9.0307,-6.1219,-7.2421,-0.4074,-1.1049,-1.8699,-4.1508,0.4605,-1.3011,-0.0909,5.7058,5.5985,3.3435,16.2759,-4.0909
195.3125,-0.8021,-9.0659,-7.0646,-7.7739,-0.1740,-0.6314,-1.6590,-4.1609,0.6385,-1.4622,0.1175,6.5799,6.2750,3.6438,16.7281,-4.7124
203.1250,-1.3038,-8.9854,-6.0987,-7.2405,0.4092,-0.4443,-2.0907,-4.3748,0.2866,-1.6857,-0.1983,6.2720,6.1193,4.0739,17.4053,-3.7600
210.9375,-0.8741,-9.2446,-6.8224,-7.1513,0.2974,0.0643,-1.8539,-4.3049,0.4772,-1.4090,-0.0119,6.3437,6.4038,4.3262,17.7194,-4.2983
218.7500,-0.6920,-9.1649,-7.6334,-7.9904,0.9386,0.3737,-1.7605,-4.7119,0.6120,-2.0660,0.0920,7.7568,7.3008,4.5222,18.1999,-4.6718
226.5625,-1.5690,-9.1629,-5.3976,-6.0147,1.2528,0.6335,-2.4863,-4.5082,-0.0729,-1.6699,-0.5214,5.6316,6.1952,5.3913,18.7708,-2.9275
234.3750,-2.8471,-9.6798,-1.5411,-1.2938,0.4623,1.3764,-3.1464,-2.5361,-1.1977,0.5433,-1.3585,0.0961,3.0178,6.3378,18.4482,-0.4914
242.1875,-3.3404,-9.9508,-0.3641,0.2689,-0.0316,1.6663,-3.4204,-1.4595,-1.4974,1.4330,-1.5123,-1.5165,1.8608,6.2488,18.0219,-0.1726
250.0000,-3.0816,-9.8562,-0.2371,-0.1026,0.4991,1.3952,-3.7527,-2.3482,-1.4477,0.5656,-1.6989,-0.5820,2.2118,5.5922,17.8476,-0.1959
257.8125,-2.5003,-10.3063,-1.1489,-0.1289,-0.0309,1.7471,-3.3256,-1.5875,-1.0450,1.0190,-1.3659,-0.3554,2.1998,4.9408,17.1482,-1.4237
265.6250,-2.6814,-10.1054,0.0234,0.8847,0.3183,1.6830,-3.8080,-1.7917,-1.4093,0.6300,-1.8569,-0.9337,1.7028,4.7252,16.7574,-0.8345
273.4375,-2.0112,-10.5732,-1.3383,0.1631,-0.2188,1.8879,-3.4222,-1.5301,-0.8679,0.8252,-1.4230,0.0312,2.0803,3.7998,16.4616,-2.2484
281.2500,-1.7203,-10.7202,-1.2298,0.7169,-0.2579,2.0898,-3.3910,-1.3532,-0.9046,0.9375,-1.4911,-0.2864,1.8128,3.4365,15.9668,-2.4895
289.0625,-1.6935,-10.7322,-1.0462,1.0451,-0.2655,2.0911,-3.5734,-1.2692,-0.8814,0.7041,-1.6264,-0.1335,1.6731,2.9461,15.5104,-2.8218
296.8750,-1.4038,-10.9434,-0.8814,1.2361,-0.1380,2.0662,-3.6771,-1.4272,-0.8505,0.4635,-1.7579,-0.0265,1.5920,2.4077,15.1413,-2.9693
