Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,0.3549,2.5493,13.3578,3.8082,46.0807,18.9151,-16.1204,-2.1499,-14.6337,-29.4992,-69.7167,18.9901,6.6354,6.6146,8.2415,-6.7542
7.8125,-4.1273,4.9052,16.2825,9.1745,47.8343,18.7672,-19.1670,-1.9922,-19.1198,-30.6735,-68.2957,19.3790,4.7716,4.5634,7.2747,-3.2763
15.6250,-6.3419,3.0812,17.6573,12.1723,46.0704,20.5535,-21.4145,-0.9854,-19.6204,-30.1040,-65.5282,22.1173,7.2862,0.5799,3.3091,1.2218
23.4375,-2.7406,-1.9521,13.2663,4.0132,43.5178,20.1207,-21.5279,-0.5293,-16.7375,-26.1745,-60.1230,24.6990,15.7812,0.8980,2.9022,-1.1649
31.2500,-3.5079,-1.7746,11.0793,-3.7240,44.0040,17.1020,-26.2429,-1.6424,-19.1083,-25.2210,-57.7417,23.8104,17.5881,9.2169,10.2704,-1.5831
39.0625,-6.4680,3.5874,15.3751,-0.5449,44.1580,16.7814,-34.0394,-5.2856,-22.5272,-30.4903,-63.1941,22.4162,12.1123,15.4064,18.4899,5.3109
46.8750,-2.9232,5.4266,18.2414,3.7655,44.1043,15.3118,-36.7311,-5.9132,-21.7980,-32.1040,-64.9615,21.4038,10.2159,13.8629,20.8522,8.9035
54.6875,-3.1089,4.7394,18.5275,3.9785,45.9132,11.8054,-35.0825,-4.9056,-23.4696,-28.6393,-56.8558,19.0672,10.9864,11.1357,17.7459,9.5785
62.5000,-10.1654,6.2966,21.0468,4.6368,49.3589,12.5117,-35.0673,-6.2949,-27.2188,-29.1043,-54.9911,17.3597,8.9280,10.7756,13.6878,12.9951
70.3125,-9.3366,5.4989,21.6798,2.9708,52.8126,13.5152,-33.9677,-8.2512,-27.1756,-29.3333,-54.9411,16.1606,7.5079,10.6398,12.7726,13.0567
78.1250,-1.9992,2.9961,19.2765,-0.0584,54.7138,12.9768,-30.1372,-10.2461,-24.7609,-24.6772,-45.4439,15.7918,9.6501,6.6055,8.9701,8.2350
85.9375,-1.5048,4.9293,18.4436,1.4560,53.2935,15.5485,-25.5504,-19.2358,-24.6707,-23.6117,-34.9455,18.5419,10.7903,0.6951,2.7194,4.9548
93.7500,-6.2703,5.9161,17.9943,3.6621,51.7427,14.8221,-23.3289,-29.8015,-27.7418,-25.2963,-26.1558,21.3127,7.5605,1.2040,3.2900,3.9694
101.5625,-6.7387,1.1151,15.7382,3.8108,52.2654,9.8468,-27.0043,-29.3237,-29.5680,-20.1426,-11.6590,20.9859,4.0021,4.7556,7.7132,3.3074
109.3750,-1.2784,-2.4510,12.6150,4.0768,51.8210,11.1627,-29.7132,-25.2872,-26.8495,-12.4379,2.0234,21.0782,3.1137,3.4080,7.5735,-0.4080
117.1875,0.8442,-2.2357,9.6812,1.3953,51.1255,11.9861,-26.6914,-26.4359,-28.0232,-8.9840,10.8807,19.5427,-1.9594,5.4646,9.9413,-4.2193
125.0000,-8.5878,-0.6995,9.6246,-1.8394,51.2200,4.8732,-30.4785,-24.8938,-36.7086,-5.7950,22.9780,14.5728,-9.9279,12.9772,18.1481,1.4940
132.8125,-16.9758,2.3724,14.6887,2.2281,51.8450,1.3414,-41.0169,-24.4808,-42.0438,-7.8224,24.3268,10.3957,-10.6163,15.2392,22.8832,12.4628
140.6250,-11.3846,3.3782,17.1332,5.5744,49.8153,3.3485,-42.2464,-29.6912,-42.0733,-13.6134,15.5266,10.9227,-7.4601,13.9837,21.2646,15.0537
148.4375,-3.8480,0.2644,13.2346,0.4716,43.5694,1.7078,-41.8620,-29.6204,-41.6331,-10.2538,21.8713,13.6964,-8.5803,14.6425,21.0354,13.9191
156.2500,-5.4755,-0.2467,10.1706,-3.7338,36.9161,0.0198,-48.6734,-25.1616,-37.4472,-2.7586,34.7778,15.4178,-7.8060,14.0173,22.3342,15.4420
164.0625,-7.0399,-0.0418,8.2706,-2.2739,30.4092,0.2968,-51.2453,-24.4646,-34.2852,-0.2420,40.1723,15.4997,-7.1942,14.7761,21.9582,14.6861
171.8750,-4.4854,-3.8102,3.1227,-2.6398,19.4596,-1.1161,-49.9442,-24.6405,-36.8237,3.0048,50.6669,16.4218,-10.3404,17.0317,21.7668,13.1029
179.6875,-6.0709,-5.5715,-0.3408,-5.8256,11.6304,-3.0878,-51.0738,-21.7022,-35.6658,8.4143,61.9752,16.0811,-9.5277,15.6551,22.5759,14.5914
187.5000,-10.3019,-4.9870,1.3171,-5.3983,14.5892,-3.7767,-45.2109,-17.8293,-33.1088,9.9948,61.1292,10.9784,-7.6958,13.2283,20.2188,16.0480
195.3125,-8.0587,-8.2075,0.8564,-1.5249,14.1903,-1.0027,-34.7852,-16.6776,-35.5295,8.7403,58.4776,8.1055,-10.7156,9.8203,14.5452,14.2334
203.1250,-3.0215,-10.8647,-4.1469,-1.7299,5.9495,3.2322,-29.0183,-14.8914,-33.6839,9.8556,58.6752,11.4927,-13.1723,6.5372,11.7803,8.5174
210.9375,-4.4473,-8.0261,-6.6609,-5.4908,1.7133,2.0326,-20.0668,-11.5619,-29.5390,12.4725,57.9470,11.3459,-12.6533,9.2232,11.6393,4.9019
218.7500,-7.8109,-7.2289,-5.2694,-3.8722,-0.0076,-2.3881,-12.1892,-12.7280,-32.3549,13.7720,64.5745,6.2027,-11.8004,9.0658,9.5322,9.0520
226.5625,-5.6782,-10.9261,-7.8091,-1.1817,-7.6853,-3.7074,-13.8721,-17.7304,-31.9573,15.7221,77.8464,6.9568,-9.8061,2.5357,10.0035,10.0257
234.3750,-1.0783,-11.8017,-13.4634,-4.6340,-16.8570,-5.4566,-12.5937,-20.2158,-26.5256,19.5519,86.9152,8.3884,-12.0082,4.8467,14.4918,4.6558
242.1875,1.9950,-9.2249,-15.4682,-8.3457,-23.6260,-7.6388,-7.3143,-24.6972,-27.9680,24.3265,102.0840,3.0509,-17.3036,10.9152,16.5042,6.4090
250.0000,1.4339,-6.5764,-11.3454,-6.1532,-25.0231,-7.9199,-10.3384,-34.8728,-31.0124,24.5294,115.9100,-0.5570,-18.1378,7.6943,15.6392,16.4327
257.8125,-7.0970,-3.3603,-1.4523,0.1750,-20.8010,-12.7943,-14.4725,-42.7596,-32.1818,15.7569,106.3882,-1.7268,-20.9473,7.4085,16.0636,30.8956
265.6250,-15.3697,-3.2348,7.4449,4.0890,-19.9247,-21.1804,-12.5792,-42.9578,-38.5240,7.1160,91.8767,-7.1934,-27.2624,13.1792,17.3371,48.7619
