Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-4.7983,-12.5018,-6.5410,-6.3642,-6.0919,-5.0245,25.8752,0.0419,-8.2060,-13.0954,-10.6724,-7.5530,-5.5007,1.2366,-13.6568,-7.6489
7.8125,-2.5523,-10.9754,-8.9107,-10.8889,-7.6240,-7.7506,26.6133,1.9116,-5.7927,-12.0304,-14.0586,-10.0312,-2.7993,1.3245,-13.6117,-7.6198
15.6250,1.8978,-18.1327,-3.4815,-6.6487,-1.9965,-7.5752,29.5925,-6.5763,-7.0256,-26.1157,-19.5930,-9.8724,-1.4416,6.5983,-8.8415,-3.9832
23.4375,4.1930,-20.8612,3.0427,-1.6752,1.7194,-5.1925,20.4403,-16.8005,-9.9531,-35.8230,-18.5773,-5.0041,-2.8937,8.9993,-4.1083,-0.1144
31.2500,3.5292,-13.5368,-4.2298,-8.7203,-3.9534,-4.4513,21.0586,-9.3104,-6.6548,-25.5035,-13.9521,-2.0099,-3.8985,4.1998,-5.5968,-3.0905
39.0625,3.3270,-9.2475,-17.7707,-9.4317,-5.2349,-2.4026,12.6208,-3.7549,1.6150,-15.8876,-9.1652,-2.7642,-3.9646,-1.0499,-12.2605,-10.4675
46.8750,1.4411,-13.0118,-24.8496,-6.0563,-3.2007,-3.2156,20.3168,-4.5958,3.6599,-21.8454,-9.1464,-6.0514,-9.3077,-1.3306,-16.3018,-15.1293
54.6875,1.0994,-12.6666,-27.4409,-11.9017,-4.8281,-3.1325,23.1895,-5.3371,3.5895,-24.8076,-10.5480,-4.8480,-12.0125,2.0651,-13.6035,-14.0164
62.5000,2.5606,-7.5820,-29.8793,-5.6093,-3.9972,2.8652,-13.1628,-12.1041,5.6401,-17.7059,-4.9245,-2.5047,-8.8681,3.3020,-9.4190,-12.9944
70.3125,-5.4088,-13.4085,-31.7323,9.4408,-3.3524,-1.5432,17.3188,-8.3709,-1.2580,-22.6570,-5.9440,-11.4003,-16.7031,-0.6552,-10.0219,-18.5940
