Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-11.7473,24.7685,-4.0938,-11.6762,9.2112,50.3367,-53.4795,-10.8359,-52.4975,-60.3530,-52.1266,-55.0294,-84.6579,-45.7415,23.0873,-2.7001
7.8125,-6.1468,24.2205,-4.9856,-17.5406,7.8112,48.1992,-43.2167,-11.5494,-45.9905,-55.8944,-46.7400,-51.9583,-79.7148,-42.5246,21.6542,-2.0448
15.6250,2.6663,25.9538,-7.5791,-29.9724,5.1823,44.4275,-35.1630,-9.8697,-35.8134,-48.6066,-30.5495,-44.4763,-70.5394,-40.4437,16.8163,-2.5712
23.4375,7.2470,21.4467,-10.2723,-34.4809,2.1121,35.8491,-25.2245,-0.3168,-25.8259,-35.4461,-19.0511,-32.7713,-61.2732,-38.1627,3.3939,-6.7289
31.2500,1.7836,7.7435,-11.1620,-24.5499,-1.7054,20.9640,-12.6224,8.0794,-17.5346,-21.6995,-17.0173,-20.1934,-49.3977,-30.5719,-10.4364,-11.3932
39.0625,-4.3235,-2.1937,-9.9067,-12.7100,-3.1979,6.7628,-2.4175,11.0253,-10.2690,-12.0668,-5.1972,-9.6048,-33.3580,-18.0942,-26.7882,-14.4560
46.8750,-1.8975,-7.0212,-11.6952,-13.1360,-6.2689,-5.1698,10.8764,23.6022,-2.7398,-1.9637,9.3002,-3.5027,-20.8877,-10.7162,-42.5741,-18.2800
54.6875,-0.6916,-13.0363,-16.1374,-20.9909,-12.6814,-17.9004,27.2967,35.2110,7.2537,11.8603,16.4756,3.7004,-11.4748,-8.3199,-52.7894,-22.2368
62.5000,-4.9985,-17.0456,-17.0191,-19.9975,-16.5159,-33.3680,35.2046,42.9845,13.9393,20.8618,27.8256,15.5067,-5.0990,-2.1128,-64.9318,-24.6553
70.3125,1.4241,-13.8389,-8.0070,-4.8177,-9.0428,-38.4843,37.4709,27.9968,16.4769,22.0157,36.3326,21.8855,0.0063,7.7598,-69.3837,-19.6625
78.1250,10.2952,-12.7767,-2.6614,3.7355,-2.6776,-32.7605,42.2786,23.5904,17.7276,21.6960,27.8318,17.1861,5.6370,12.0677,-68.1969,-16.2891
85.9375,7.6612,-12.5559,-2.7529,1.1978,-2.2118,-30.1285,45.1254,23.6627,21.0198,29.7088,29.5411,19.9640,14.7955,14.7709,-70.8048,-16.1833
93.7500,9.1036,-8.0041,-0.2362,2.2687,-1.4165,-38.3279,49.8640,21.2726,24.3297,39.1191,43.7244,31.1508,20.6532,15.6057,-73.2953,-14.7396
101.5625,15.3800,-7.7392,0.9965,2.9248,-1.1965,-44.5532,59.3011,23.2344,28.7889,42.7955,45.4297,34.9950,21.8861,16.0663,-76.5176,-14.4743
109.3750,13.3842,-12.2590,-1.4786,-4.5919,-2.9586,-43.3709,65.8948,21.2756,34.0387,50.4763,45.4616,38.6979,27.8070,25.0399,-88.0655,-16.0831
117.1875,9.6000,-12.5635,1.5424,0.8731,0.8536,-45.3249,69.1708,13.6790,37.1038,58.1909,54.8371,46.7637,34.3998,33.0401,-106.0205,-17.5264
125.0000,10.2815,-12.1219,6.3322,17.2733,4.7700,-52.0760,67.2732,22.0937,35.1405,54.3520,53.6406,45.4194,33.3035,31.5007,-110.1799,-18.1526
132.8125,9.5065,-10.8543,6.8563,15.7025,3.5109,-51.8237,61.4011,20.9978,31.1699,52.9679,47.4739,43.5965,35.1264,35.8202,-98.2782,-13.8044
140.6250,7.9982,-8.1850,3.9958,0.9240,-0.4228,-49.6713,64.9446,15.4288,27.9563,55.3158,48.3706,50.8582,42.8381,44.3841,-91.0583,-9.9271
148.4375,12.0509,-5.6222,5.3562,2.1945,2.4578,-46.3647,66.3372,12.5553,28.9035,48.0102,49.1462,52.1647,47.4127,42.6945,-93.1265,-10.1419
156.2500,10.9736,-8.3076,4.8551,5.5911,2.2064,-44.7002,61.2726,19.4595,31.9686,45.8710,46.0172,47.6947,44.4532,38.8319,-90.1304,-11.2661
164.0625,8.4896,-7.4747,3.2094,-2.2722,-1.0336,-45.6413,61.0765,15.6512,30.9791,52.9833,42.9845,48.9704,41.2768,39.2141,-81.7591,-8.7477
