Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,5.6215,-11.2371,-6.8782,-6.3510,-6.5286,11.8012,30.9994,6.3548,1.8334,2.7455,7.6893,7.1739,-8.1478,-1.2127,17.8419,-0.4331
7.8125,6.9457,-11.0209,-9.7143,-13.4673,-9.6007,9.8560,34.9712,14.1260,3.8928,6.4394,9.6394,6.3418,-12.5043,-4.1660,18.1365,-1.5851
15.6250,0.0547,-12.8677,-9.0584,-4.4022,-8.9909,8.0353,28.4762,23.3126,0.5398,6.0594,8.2285,1.6628,-15.7851,-6.8119,15.2733,-3.9472
23.4375,-5.0968,-14.3070,-5.3173,10.9804,-3.8245,11.3428,19.2067,23.8076,-4.8652,-1.2675,0.0720,-4.9879,-17.1177,-7.5813,9.9012,-5.5311
31.2500,-1.2884,-10.1198,-3.8310,7.6243,-1.5393,12.3824,21.7229,19.5975,-3.7481,-5.3778,-5.5520,-7.2337,-20.8547,-7.4271,5.8408,-4.4197
39.0625,-0.0790,-5.0050,-3.4793,0.8356,-3.1786,5.8325,21.3741,15.4006,-2.9537,-9.2238,-3.8567,-7.4119,-21.6484,-5.0558,8.4104,-1.4438
46.8750,-2.3722,-6.0495,-1.1106,9.4698,-2.3870,2.8948,13.1615,10.3956,-6.5967,-14.3426,-4.8779,-10.7369,-22.2339,-3.4335,14.1202,0.4017
54.6875,1.0368,-5.8993,1.9534,15.8408,2.0805,7.0184,14.4348,12.9733,-4.5021,-11.7757,-11.6217,-13.0675,-27.7492,-4.0718,9.7341,0.5100
62.5000,4.0820,-2.7368,1.3737,9.0005,2.5872,7.1461,22.1061,23.4574,1.2773,-6.8555,-9.4053,-9.1794,-25.4323,-2.2043,0.3175,-0.4042
70.3125,3.4265,-4.2663,-2.4299,2.4302,-2.4043,1.9836,24.4694,29.5081,0.0421,-7.4617,-1.0441,-4.1457,-17.2285,0.6338,0.9571,-1.6318
78.1250,2.3939,-5.3705,-2.8072,4.7540,-3.7600,-2.8721,25.4914,30.4202,-3.7822,-2.9855,1.0328,-3.3254,-18.0519,-0.9589,0.9548,-2.6252
85.9375,-0.1988,-1.9224,-0.4431,8.7756,-0.8819,-6.4857,26.9497,35.5001,-3.1806,4.1178,2.0947,-4.6237,-18.7169,-2.7346,-10.2082,-4.3007
93.7500,0.4103,-3.1618,-2.6977,6.0831,-1.5008,-5.1019,28.0489,44.0196,-2.4569,2.4661,4.9219,-4.2679,-15.9749,-2.4338,-18.7753,-7.6882
101.5625,5.5493,-7.0459,-6.5323,-0.1387,-5.3323,-2.8007,29.8617,46.9297,-5.0854,-0.0774,3.8743,-2.1451,-22.3756,-2.1023,-12.6636,-8.0118
109.3750,5.3429,-5.7636,-6.0630,-0.8411,-8.0123,-10.7862,27.7778,46.5644,-5.1947,3.4856,7.0730,0.6947,-25.9602,-1.7606,-3.9426,-5.0745
117.1875,3.5413,-6.7789,-6.2729,1.4852,-9.3576,-18.3566,24.6056,52.6596,0.0204,6.3858,13.1045,2.8018,-20.2278,-3.9652,-7.3568,-6.9816
125.0000,7.0500,-11.3366,-7.6487,2.3611,-7.4040,-8.9235,26.9739,56.1070,2.3542,4.2294,7.9208,1.7054,-22.3205,-5.4179,-14.4160,-10.4512
132.8125,6.2184,-11.2076,-5.0499,7.3115,-4.0082,0.8213,27.8947,47.3671,-1.2622,-1.1465,1.9066,-1.5159,-26.8617,-2.2657,-6.8895,-7.0082
140.6250,3.2620,-10.0330,-3.1693,12.9033,-5.0830,-5.2705,25.8369,43.7387,-2.0477,-0.3567,7.3890,-0.7986,-25.0909,-4.4464,5.3943,-4.0594
148.4375,5.1488,-11.3932,-5.1432,10.7040,-7.5086,-10.7437,27.9817,49.0838,-1.3467,8.8650,11.2032,0.9763,-29.6392,-9.5357,2.4883,-6.6714
156.2500,4.2897,-10.3885,-6.1424,5.9523,-7.3870,-7.3481,30.8223,51.0390,-6.4888,9.4203,7.2236,-3.2734,-33.6513,-4.1225,-3.8684,-6.8454
164.0625,2.9496,-8.4234,-6.1391,5.1705,-5.9674,-1.6092,28.6560,47.7888,-11.3868,3.8220,7.0085,-5.6254,-27.9501,-2.1515,-3.7015,-6.5439
171.8750,6.8860,-9.4555,-7.5190,4.0185,-5.6287,-0.6016,25.8137,50.4004,-10.2150,10.9121,10.3010,-0.4075,-28.9485,-7.9493,-9.5628,-10.0258
179.6875,5.3154,-11.3463,-7.5298,5.1410,-6.2324,-4.0229,22.9787,53.7315,-10.2496,18.3422,10.8320,-0.8775,-36.8891,-5.3866,-15.3073,-10.8002
187.5000,2.8810,-9.5338,-7.4876,3.7799,-7.1725,-4.4481,21.1455,52.8875,-12.2263,11.4069,8.2183,-7.3697,-35.1052,-3.7390,-9.1590,-8.7070
195.3125,7.7346,-4.3665,-9.7310,-7.3626,-7.6427,-0.3919,21.9080,53.7082,-10.8902,7.8812,4.9893,-6.9893,-30.3625,-10.7040,-6.9288,-9.2859
203.1250,3.8537,-5.7051,-9.9879,-6.4656,-8.4236,-3.3491,20.9357,62.0622,-7.1820,11.1150,2.3023,-6.7889,-30.0403,-10.5654,-10.5666,-10.3988
210.9375,-5.6339,-12.2737,-6.0967,13.3216,-8.5524,-12.2860,16.0985,70.3210,-4.5854,3.5874,-4.6964,-14.6737,-29.8562,-7.4740,-2.5211,-8.5977
218.7500,-1.7979,-10.1393,-4.6925,13.6032,-9.2184,-14.4467,12.4077,68.3341,-5.5299,-5.8142,-11.6135,-16.7906,-32.9760,-7.8099,11.2805,-4.2217
226.5625,1.2441,-7.3438,-9.2421,-5.9773,-14.9528,-14.7940,11.0978,62.1801,-7.4636,-3.1546,-6.5155,-13.0558,-36.3059,-1.9850,17.6553,-1.1441
234.3750,-6.5358,-15.3123,-13.5730,-5.3270,-20.4620,-20.4844,8.9366,68.0310,-6.1360,0.4644,0.6126,-16.4484,-33.3523,-2.4889,15.4339,-5.4280
242.1875,-9.7414,-19.3107,-13.8089,4.9018,-20.7519,-25.3384,6.7350,77.7534,-5.1525,0.0010,-1.2555,-18.2160,-29.7500,-12.6708,14.2707,-10.0471
250.0000,-10.9773,-16.2749,-14.7477,-1.1931,-21.9701,-26.0525,6.6745,76.0527,-4.8788,2.6927,2.3172,-11.3257,-27.9157,-13.6193,15.6987,-9.3964
257.8125,-17.6196,-19.5360,-17.9280,-6.7932,-25.3995,-28.1444,9.2743,73.7362,0.7409,5.6515,11.7798,-6.6307,-23.2140,-11.6995,10.0467,-11.8347
265.6250,-18.0422,-22.6025,-20.7432,-9.0651,-28.1352,-33.0483,11.7095,82.0868,4.1225,6.1038,11.6422,-6.1410,-23.1601,-15.7223,3.5831,-15.8929
273.4375,-18.6228,-20.7778,-22.1200,-13.8344,-29.7938,-32.4265,8.5840,88.0215,-0.6158,7.9230,8.8232,-7.9155,-30.0297,-15.0223,6.5049,-14.9824
281.2500,-26.1167,-25.5328,-21.5752,-6.9848,-31.2406,-36.2974,8.2851,89.5635,0.9860,8.9560,10.8222,-8.4171,-30.9480,-10.9558,8.0538,-14.6444
289.0625,-25.2708,-26.9187,-17.6481,4.4017,-27.8651,-41.7856,7.7716,81.8123,6.0537,6.5100,10.3001,-4.0610,-27.1263,-14.3220,3.7825,-15.5074
