Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-2.2421,9.7000,5.1711,1.9646,-2.5705,-9.1331,1.7686,0.8610,9.4956,-4.9552,-5.9083,2.5821,3.5119,1.0605,20.6178,9.6306
7.8125,-1.4689,3.6283,1.1874,0.9202,-8.0259,-8.0038,-5.3807,1.4512,12.6522,0.9717,1.9812,3.7676,2.1361,-0.4758,24.5492,7.3778
15.6250,-3.7843,-3.7652,-6.0571,-4.1133,-12.3205,-0.9071,-2.7064,17.0995,11.5759,6.2759,11.9159,-1.0637,-6.2741,-5.1659,24.3950,1.4551
23.4375,-7.1942,-5.4270,-7.6651,-7.2183,-12.1037,2.2827,-3.9701,24.4327,12.8947,6.5820,7.5598,-3.3324,-7.8443,-5.8333,24.4525,0.4768
31.2500,-6.7756,-7.2352,-7.2590,-7.1666,-16.0501,1.5503,-14.2844,14.8986,21.0522,9.2406,1.5686,3.6049,-2.5930,-3.1415,30.0346,2.9978
39.0625,-4.2532,-9.0267,-5.9211,-3.4019,-16.6897,6.8479,-12.1554,2.0264,25.7135,4.7331,-0.3937,4.6384,-2.8955,-2.6526,35.7670,5.0290
46.8750,-3.7713,-5.5573,0.8578,3.4676,-8.7273,9.9541,-9.5369,-15.3505,26.8140,-6.2629,-8.0443,-1.9372,-3.3926,0.0273,39.4828,10.3035
54.6875,-5.5519,-6.1302,-0.2260,3.1404,-11.6627,2.8343,-14.8794,-10.3804,23.5039,2.5390,-6.1821,-0.3240,-2.7347,2.0031,36.4408,9.3523
62.5000,-6.9181,-15.4877,-12.2928,-5.9133,-25.0023,-4.6874,-6.2839,16.6956,18.5996,21.2428,8.4297,6.3661,-5.4231,-3.2297,27.6858,-1.3309
70.3125,-4.7149,-18.4059,-15.8641,-13.8923,-25.7615,-4.3351,5.0963,15.6295,20.3096,20.7311,11.4600,7.1368,-3.8987,-5.9071,25.5201,-4.0945
78.1250,-1.3644,-12.2333,-12.2568,-19.4739,-19.9284,-0.3488,1.2049,3.9379,21.5637,15.0045,6.4319,4.4085,-0.5240,-1.3008,28.7096,1.1490
85.9375,0.1057,-13.5727,-13.8635,-21.4486,-21.7946,-0.4133,0.3659,11.8266,18.6573,18.6115,7.0318,0.4924,-1.7759,2.5547,29.3216,1.1495
93.7500,-0.8336,-17.8043,-14.5438,-16.6006,-22.6863,-2.8739,5.7569,20.6152,17.6339,20.4515,5.6151,-10.5144,-2.4077,2.6166,29.7667,-0.2958
101.5625,-1.5278,-17.7940,-13.2201,-11.3943,-20.5436,1.2073,5.2424,21.7006,18.3072,22.6938,8.7819,-23.0960,-3.8362,1.1132,27.2459,-1.0840
109.3750,-0.7668,-17.1718,-13.0573,-7.4733,-18.1992,7.8303,8.8791,22.3946,11.7544,20.1098,15.8983,-26.4516,-9.2919,-0.0107,21.4362,-3.2788
117.1875,-0.6887,-14.7543,-11.3856,-4.8697,-14.3793,3.8994,15.4368,21.5045,-1.9648,11.9789,12.8656,-20.1847,-9.2351,1.1779,19.7150,-3.0464
125.0000,-1.3288,-14.3599,-14.1059,-12.0634,-17.7947,-3.9206,10.1363,21.4256,-10.5148,21.0415,15.1784,-10.6644,-2.1871,3.3767,23.3997,-2.8500
132.8125,0.2841,-19.4518,-18.5917,-18.0641,-22.5189,-1.8398,10.8569,27.2125,-11.6838,26.6506,14.1583,-10.7300,0.9819,6.2939,27.8273,-3.8583
140.6250,3.8580,-16.0118,-11.4503,-10.9301,-15.0838,0.2161,14.8268,16.5564,-11.4587,6.2702,-5.2378,-16.7402,2.5071,12.0188,33.3873,2.6772
148.4375,4.5674,-12.2204,-6.8894,-8.6583,-12.8437,-9.6707,5.0790,-1.1450,-7.4243,3.8606,-3.8380,-12.1215,4.9508,14.9945,31.4954,6.1676
156.2500,1.3750,-16.9574,-15.8751,-18.5453,-21.5665,-16.4373,10.1586,25.9961,-6.4034,19.9573,9.4426,-7.4063,1.6532,9.5727,21.3490,-2.3392
164.0625,2.4982,-20.3522,-19.1045,-24.5871,-20.2680,-11.4334,27.1467,45.9711,-1.0735,13.2494,-2.0771,-8.3206,2.2981,6.2552,15.8792,-6.1780
171.8750,3.1998,-17.6391,-13.5010,-17.7986,-12.4373,-9.3292,21.3477,35.8625,5.5855,4.4528,-7.7622,-7.8728,3.2031,3.5516,10.3018,-5.0810
179.6875,-5.0639,-20.4028,-11.6383,-0.5040,-13.8237,-15.7990,8.2243,39.6293,3.9230,13.6553,3.3503,-12.4077,-6.2578,-1.7788,1.7898,-9.2281
187.5000,-11.9116,-22.0555,-8.3453,13.7860,-14.1697,-17.1208,8.3878,42.6822,2.3037,12.8970,-6.3402,-21.7114,-10.8187,-0.8205,-0.8947,-9.1122
195.3125,-9.3444,-19.8555,-5.5878,12.4251,-11.3028,-12.5667,9.6073,27.7409,8.2534,4.7390,-14.0153,-21.4372,-4.6017,2.3953,-3.1213,-6.5819
203.1250,-7.2534,-19.5242,-6.3713,10.5992,-12.2099,-13.6122,4.2721,17.9525,11.7759,5.1809,0.3112,-16.2158,-4.0496,-0.2477,-2.4192,-7.2379
