Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,3.0431,-105.7208,-8.5077,13.0462,10.2238,-5.0687,3.9571,13.6387,-5.3686,-9.2691,-1.9736,8.0139,4.3825,-4.2517,26.9424,27.4694
7.8125,3.9333,-103.9096,-13.1854,8.4466,9.0558,-7.3790,3.3905,17.6976,-7.9516,-4.0112,4.7247,10.2785,7.0697,3.0576,28.7649,19.8583
15.6250,6.8563,-99.8360,-14.8811,6.7687,13.2371,-6.8245,4.2917,25.1876,-2.8009,1.6988,7.4617,11.3226,5.8029,-5.3853,27.8950,12.2910
23.4375,12.4345,-93.6524,-12.1344,12.7900,15.6487,-0.3214,4.0878,26.5562,0.9834,0.4521,-0.0783,4.4646,0.6499,-11.6821,20.0484,8.6031
31.2500,11.6420,-89.3493,-12.8427,16.1916,11.4475,1.6390,-0.9784,25.1503,-6.4112,-3.7739,-8.5513,-0.2260,3.2808,5.0722,18.3266,4.6320
39.0625,6.6970,-94.5144,-18.0338,9.1515,10.2431,-0.3837,-4.2161,37.1377,-12.3567,-0.2625,-6.3808,4.3738,8.3260,3.0004,27.1601,4.3407
46.8750,9.6222,-84.6155,-18.9168,-0.6188,11.9037,0.5158,-3.8493,58.8773,-11.5041,9.4711,-2.6998,2.8457,6.0026,-26.9929,28.3321,6.7569
54.6875,14.2554,-77.6353,-20.6294,-1.5197,7.6707,1.5264,-5.4298,68.4624,-12.7573,13.0551,-5.8614,-3.0346,6.6472,-28.6759,21.4841,2.0498
62.5000,6.9690,-71.8228,-20.5475,0.6301,4.1790,-4.0592,-4.8394,68.4243,-15.9311,14.1715,-6.0532,-2.2161,7.1532,-5.7815,18.0795,-1.1989
70.3125,2.6678,-69.1303,-17.2672,-1.8494,6.9260,-5.7227,-4.5017,67.5454,-16.1142,17.6655,2.5995,-0.6793,0.7860,-2.7830,17.9231,6.0154
78.1250,8.4016,-67.6815,-18.3695,-5.5213,7.5515,-1.2301,-10.3899,66.5719,-18.1353,17.4749,2.3711,-2.8380,1.0428,-6.3772,18.0239,4.6590
85.9375,8.4028,-66.3465,-24.1977,-9.3826,3.6005,-0.3518,-12.3168,69.6500,-20.8770,16.2907,-4.8034,-2.2494,9.7450,-3.2319,18.2966,-5.8324
93.7500,3.2380,-68.7409,-25.2208,-14.2686,3.2319,-3.2531,-7.1546,72.6453,-18.9195,20.5702,2.5541,-3.4950,10.2872,-11.0269,15.3305,-3.1663
101.5625,1.3195,-56.3000,-19.4967,-14.0571,8.1954,-6.5828,-7.4590,68.0870,-19.2919,22.2593,8.1325,-11.9545,1.0196,-13.0495,9.4331,0.1275
109.3750,-1.4140,-36.3808,-16.9973,-11.8377,9.2491,-6.9256,-10.3651,61.6010,-22.1211,18.1413,-3.1310,-17.0398,-6.2809,6.2911,3.8499,-10.1971
117.1875,-6.0422,-24.4092,-19.6315,-19.1864,4.5925,-6.8582,-8.1367,67.6766,-19.4272,23.3880,-5.3908,-16.7284,-6.1181,15.0925,-5.2276,-18.0025
125.0000,-9.4438,-31.8468,-22.1179,-26.6909,3.3124,-10.0436,-7.4280,75.5968,-15.9753,30.6722,4.1784,-16.0271,-4.1052,4.5558,-9.8038,-13.8878
132.8125,-14.9134,-4.9701,-12.4233,-24.9463,7.3614,-13.8733,-8.2422,70.2437,-19.7406,24.7058,-8.3049,-19.0221,-10.5208,8.4911,-11.7833,-10.1250
140.6250,-13.0992,9.1873,-5.5400,-24.3495,6.8682,-7.1207,-6.7848,56.3905,-17.7741,16.4340,-23.3680,-20.6421,-14.5072,19.6047,-21.9162,-7.4384
148.4375,-6.2943,12.0965,-4.8274,-32.6993,3.9130,-3.5950,-5.7714,53.2670,-11.6025,20.7531,-16.8872,-18.2435,-7.2730,3.7141,-36.5540,-3.5932
156.2500,-6.8552,17.0668,-1.5175,-37.7557,5.3366,-6.8761,-6.5239,53.2141,-12.4450,23.5322,-9.8996,-13.6999,-3.3781,-13.4343,-43.4099,4.3120
164.0625,-12.3415,25.6197,6.0438,-36.5340,6.4884,-6.5680,-6.1326,42.7061,-17.7360,18.6061,-13.0902,-14.8836,-10.2115,2.3130,-48.1157,14.5552
171.8750,-7.6241,18.7437,7.6724,-34.5334,5.9201,-4.2970,-3.8284,33.5648,-18.2778,16.8039,-10.6159,-16.0979,-11.2055,11.5006,-55.3936,18.3820
179.6875,1.8041,15.9103,9.1194,-33.7970,7.1410,-5.7750,-3.3692,32.9688,-17.1112,16.9499,-8.5996,-9.8968,-3.4011,-7.9901,-61.0616,21.4077
187.5000,-0.2506,26.3795,14.9668,-34.7391,6.6045,-6.0604,-8.2466,30.7936,-17.4116,15.3309,-13.4197,-6.7462,0.1531,-4.2549,-66.4045,29.0708
195.3125,-4.9843,27.7662,17.1511,-35.0894,3.4799,-3.9850,-10.5039,26.0881,-15.1798,17.8750,-10.8925,-9.1641,-2.3828,25.3849,-76.2437,31.9201
203.1250,3.7893,3.9360,13.7606,-32.1314,3.9172,2.5207,-4.3461,22.0809,-9.3789,19.6347,-4.2822,-5.4079,0.0176,25.0028,-85.3058,31.4068
210.9375,12.4834,18.9955,21.1042,-29.1162,7.7508,6.9632,-0.9790,15.7242,-9.8835,15.8454,-9.9385,-3.4306,5.6531,9.2794,-94.5042,34.8467
218.7500,8.1496,20.4035,30.2290,-24.7759,8.4420,2.8194,-4.5892,15.5806,-15.2006,11.1748,-18.3794,-8.3630,3.8645,20.7844,-98.5024,52.0354
226.5625,0.2357,21.0028,36.3370,-24.1892,11.5635,-8.3970,-3.8998,27.1785,-17.8479,13.8095,-23.2503,-13.8535,-5.5634,32.7252,-103.6911,63.3886
