Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-2.6990,-2.4666,-0.3721,-6.6369,5.5913,2.8325,-7.7171,-8.1675,-7.0057,-1.0289,2.2738,-2.1273,1.9719,5.9596,9.9822,3.1545
7.8125,-3.8023,-4.1260,-1.3414,-6.9600,5.6644,1.9663,-9.8521,-3.8540,-2.9385,1.2636,8.5439,-2.9285,1.4188,4.5027,7.4041,1.4119
15.6250,-6.1481,-10.3680,-4.9831,-7.0880,3.1588,-2.8805,-3.7849,3.9709,0.9066,9.8012,15.1026,-2.5601,1.5948,-1.3458,1.4204,-4.2176
23.4375,-6.8723,-11.0503,-6.8508,-9.5218,0.6252,-0.1730,5.6821,4.9339,0.9644,13.1767,10.5448,0.5511,1.7580,-4.0726,-0.7525,-5.9984
31.2500,-6.2931,-5.8824,-6.5502,-14.1167,-0.4182,3.4225,3.3379,5.5734,-0.3217,10.1023,11.7277,-1.7046,0.3936,0.1639,3.7598,-2.6471
39.0625,-5.7056,-3.7516,-6.1940,-13.7738,-1.0622,-2.1652,-3.4160,9.8049,-3.5342,10.6358,21.6645,-10.3846,-3.7685,2.6683,8.6701,-0.7140
46.8750,-4.9621,-1.2855,-2.8579,-6.2321,0.5581,-1.6720,0.1639,5.6290,-6.2586,6.2890,12.8044,-13.2153,-5.6396,0.7476,7.6211,0.2872
54.6875,-7.6074,0.8763,0.1797,-3.4862,3.3070,3.7466,9.5740,-1.6681,-3.0977,-1.9872,-3.8270,-8.1770,-0.9271,0.3219,4.5838,1.5483
62.5000,-10.2980,-2.7563,-3.4219,-10.6899,0.3938,0.0303,16.2881,1.3044,2.0180,0.3857,-0.0325,-5.9657,1.9025,0.1576,5.1486,-0.1070
70.3125,-5.4422,-2.7485,-6.7609,-15.5956,-6.1099,-1.7089,16.8452,4.0687,3.9388,4.4466,7.6221,-7.0502,-0.6008,-0.3782,5.6917,-1.2016
78.1250,-0.9282,0.7879,-6.2081,-14.8430,-9.2993,-1.0178,12.5624,3.8623,5.9605,3.9409,7.4817,-4.4053,1.8595,0.3537,4.1516,-0.4736
85.9375,-2.8369,-0.1871,-6.5456,-16.6332,-8.9171,-7.3204,11.5021,4.2644,9.3900,7.1893,11.3921,1.0721,6.3805,-0.8240,4.6192,-0.9046
93.7500,-1.9961,3.1238,-4.5751,-18.3599,-5.9954,-5.6432,12.3589,-4.8841,11.0583,3.4977,9.1766,5.1352,7.6589,-2.0460,5.3158,0.8342
101.5625,0.3459,9.7243,0.1805,-14.9914,-0.9596,1.4640,6.8323,-13.7984,9.4153,-5.4051,-0.4167,5.3224,12.1256,-0.5931,4.1262,4.0516
109.3750,-1.7764,7.0998,0.0727,-11.9647,0.9985,-3.5467,1.6028,-7.5615,6.3916,-0.3473,3.2653,2.1312,12.8952,-2.2047,4.4327,2.5919
117.1875,-1.9241,4.6035,-1.4874,-11.7767,-0.4740,-5.3868,4.8894,-5.7258,6.3408,5.0414,8.3090,2.2880,5.3051,-5.6644,3.9953,0.6961
125.0000,-0.0032,8.1768,0.8684,-10.1794,1.3123,1.9695,10.0517,-12.9743,8.6831,-1.0567,0.0965,3.5861,4.3022,-6.6372,-0.6052,1.4556
132.8125,-2.6071,9.6696,2.7996,-7.8212,4.7432,0.1325,9.6186,-10.4654,7.5148,-1.2878,-0.5200,-3.2757,5.0518,-6.0611,-2.5702,1.9528
140.6250,-5.4099,11.5199,3.2130,-7.2733,3.8101,-2.1439,5.9234,-7.9629,4.4885,0.6269,7.3311,-9.1062,-0.9957,-2.3236,1.3402,4.0916
148.4375,-6.4767,14.9431,3.4320,-9.5674,1.5268,4.0198,5.4961,-13.1993,6.2619,-1.3530,5.9710,-4.3124,-0.1236,-0.0244,3.5967,6.2282
156.2500,-7.7222,13.9432,2.8572,-11.2314,2.7230,3.9790,6.2056,-10.3068,9.1013,3.4091,3.4690,-2.2331,3.1671,-3.6168,1.7774,4.6556
