Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-5.9270,-3.9008,-18.2157,-8.3115,-30.4724,-6.4582,125.4958,27.3868,19.4422,11.9218,-8.4785,-15.6779,-6.6212,-54.3727,-18.0140,-24.0356
7.8125,-2.8530,-10.0449,-18.7529,-6.3521,-31.3408,-7.8759,143.5631,22.9489,14.8601,6.8627,-16.4963,-17.2463,-8.3556,-47.4941,-18.9129,-23.8238
15.6250,-4.4449,-17.5916,-20.4381,-7.1686,-33.5710,-14.8585,167.5254,24.2496,6.2469,3.3067,-17.9584,-20.5115,-10.1542,-31.2110,-18.4100,-22.0355
23.4375,-10.1601,-19.5176,-22.6731,-11.2804,-39.5422,-19.4572,196.4064,25.8068,2.1806,-0.3092,-17.8330,-24.8378,-8.8069,-17.4624,-18.8127,-19.9977
31.2500,-8.6554,-18.0273,-23.7712,-12.4341,-46.4426,-18.4263,221.3621,16.1069,3.4314,-7.4676,-25.9220,-26.9791,-6.6121,-18.4302,-15.9589,-19.1388
39.0625,-4.7233,-19.9565,-26.0225,-11.6771,-53.1418,-19.9441,236.7902,5.6329,4.5216,-10.8387,-29.1129,-24.2485,-7.2128,-26.3213,-10.4368,-20.6124
46.8750,-8.3437,-25.6202,-30.3207,-16.6987,-57.9359,-21.0743,255.1851,2.3100,4.3988,-10.9069,-26.2260,-19.8064,-6.6945,-24.3775,-10.8983,-22.8072
54.6875,-12.5603,-28.4140,-31.7236,-26.0237,-61.9462,-20.9945,273.8349,-3.1819,5.4288,-6.3200,-29.4838,-20.6370,-5.9160,-3.2937,-14.8254,-18.6075
62.5000,-11.9256,-25.7929,-29.6396,-28.2583,-71.0566,-24.8469,283.9285,-18.2442,4.7809,2.6816,-32.2172,-25.4035,-8.6588,22.2841,-16.1153,-10.0829
70.3125,-14.1864,-24.1437,-29.6813,-24.6121,-80.8244,-27.0899,295.7695,-23.7487,1.7474,4.1787,-32.7915,-27.5393,-10.4772,33.7394,-20.2561,-7.8838
78.1250,-14.5933,-23.0560,-29.2908,-21.3373,-80.3214,-23.4132,305.2796,-37.5234,-0.0278,3.6097,-36.0672,-23.5355,-5.1409,22.3382,-19.8503,-10.2772
85.9375,-14.0798,-22.8109,-28.7168,-24.8376,-78.4884,-27.6953,314.4576,-47.2926,1.3517,16.8825,-33.3138,-26.8514,-3.7530,17.8355,-14.1751,-9.0218
93.7500,-14.3017,-22.6305,-28.4885,-27.3930,-81.3672,-29.5352,324.9699,-52.0512,1.4281,25.6419,-30.9975,-33.5433,-5.6459,28.1798,-17.5427,-6.5576
101.5625,-10.5485,-21.2942,-26.9417,-24.0474,-80.8511,-19.7659,333.1723,-58.6340,-5.5396,16.9122,-40.7764,-33.3149,-4.4919,35.9857,-26.5125,-6.1266
109.3750,-9.2651,-19.4348,-25.5421,-22.3292,-78.5920,-17.3049,339.8871,-59.4026,-15.8343,16.6339,-43.0328,-35.1471,-5.7485,40.7648,-27.1603,-4.6466
117.1875,-14.5625,-17.7179,-26.9428,-23.5722,-74.4295,-22.6160,337.1910,-46.2708,-21.4927,30.1261,-32.3600,-37.9635,-6.1806,27.3463,-27.2572,-8.9773
125.0000,-10.9056,-16.0119,-27.6290,-19.7519,-65.5447,-20.8750,330.7734,-47.2271,-23.4960,32.7604,-33.5233,-29.4887,1.0447,-10.9964,-28.8308,-19.4442
132.8125,-0.6890,-14.6927,-27.5394,-15.7289,-63.4553,-18.3147,332.2234,-50.1065,-25.8885,25.6885,-42.6564,-24.8328,2.9289,-31.2511,-23.1609,-23.0234
140.6250,0.0444,-11.6365,-27.6049,-16.8920,-68.6962,-15.7909,318.0481,-42.0679,-18.3640,30.3382,-39.9256,-31.3726,-1.2749,-25.8781,-21.0044,-20.2765
148.4375,-3.2716,-8.1054,-29.6928,-18.9344,-67.5037,-10.1863,297.4868,-34.9997,-4.9278,41.7201,-29.8705,-29.7841,1.3463,-49.7563,-27.2107,-27.6726
156.2500,-3.1936,-4.1815,-30.5154,-18.4588,-60.9095,-9.0782,270.0542,-36.3873,-0.6364,49.9650,-20.0520,-19.8143,4.7562,-85.0878,-23.2790,-35.3784
164.0625,-6.6860,-3.4254,-27.5036,-17.7188,-58.7742,-10.9931,243.1396,-39.9572,-0.9365,48.0650,-15.1792,-17.9871,2.2941,-70.3302,-16.6074,-28.8865
171.8750,-9.4798,-1.7912,-22.6468,-15.9463,-53.6559,-11.8431,212.1423,-37.6441,5.5740,42.9480,-14.5638,-16.2350,3.1793,-51.8810,-21.2223,-23.1201
179.6875,-6.8353,4.4546,-21.3891,-18.0651,-47.2599,-17.8220,188.7928,-31.7683,9.0671,49.9129,-7.3527,-10.6834,6.5418,-70.3812,-21.0494,-26.0669
187.5000,-7.1555,7.6248,-21.8851,-23.6733,-40.8257,-20.5416,162.3785,-22.0814,3.7562,64.4322,-0.3774,-9.1881,5.5311,-82.3739,-12.4804,-26.9098
195.3125,-11.0412,1.4676,-18.9069,-18.9130,-27.3432,-14.0331,147.5845,-17.1489,-3.9174,62.7790,-6.5034,-9.0611,4.0286,-76.6229,-11.8914,-26.1303
203.1250,-10.5597,0.0460,-11.9679,-5.4347,-12.5364,-11.3253,129.1151,-23.2478,-10.1040,53.1037,-13.7675,-9.1508,4.8380,-79.5980,-10.1019,-24.8915
210.9375,-6.9492,0.1933,-10.1137,-5.7519,-9.7825,-14.2738,112.2290,-24.0071,-18.1304,44.0952,-14.3487,-14.3820,6.5883,-66.6943,-2.4749,-19.6936
218.7500,-4.4626,-2.5814,-11.7077,-14.1613,-10.4164,-13.7160,89.2083,-21.1502,-20.5107,46.1445,-12.9085,-11.7960,11.8104,-48.8571,-1.6106,-16.2852
226.5625,-5.6418,0.4478,-11.3691,-13.3321,-4.4728,-15.5813,63.0422,-9.3778,-18.6274,55.7185,-7.3033,-2.9076,15.4506,-65.7501,-3.3010,-20.7394
